순,이름,연도,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR2,WPA
18,김재윤,23K, 2.86 , 59 , 0 , 0 , 0 , 5 , 5 , 32 , 0 , 65.2 , 21 , 19 , 262 , 54 , 5 , 2 , 2 , 13 , 5 , 1 , 60 , 0 , 3 , 2.60 , 2.42 , 1.02 , 162.2 , 173.7 , 2.86 , 2.31 
19,양현종,23K, 2.81 , 29 , 0 , 0 , 29 , 9 , 11 , 0 , 0 , 171.0 , 78 , 67 , 729 , 180 , 32 , 1 , 13 , 48 , 1 , 1 , 133 , 0 , 5 , 3.53 , 3.72 , 1.33 , 117.2 , 110.4 , 2.81 , -0.03 
20,박영현,23K, 2.75 , 68 , 0 , 0 , 0 , 3 , 3 , 4 , 32 , 75.1 , 25 , 23 , 308 , 63 , 11 , 2 , 3 , 23 , 4 , 2 , 79 , 2 , 1 , 2.75 , 2.70 , 1.14 , 153.7 , 155.9 , 2.75 , 1.80 
21,엘리아스,23S, 2.65 , 22 , 0 , 0 , 21 , 7 , 6 , 0 , 0 , 131.1 , 58 , 55 , 548 , 140 , 22 , 1 , 12 , 33 , 1 , 6 , 93 , 0 , 0 , 3.77 , 4.08 , 1.32 , 111.0 , 104.0 , 2.65 , 1.25 
22,함덕주,23L, 2.64 , 57 , 0 , 0 , 0 , 4 , 0 , 4 , 16 , 55.2 , 12 , 10 , 222 , 32 , 9 , 1 , 1 , 22 , 1 , 2 , 59 , 0 , 0 , 1.62 , 2.80 , 0.97 , 252.5 , 148.0 , 2.64 , 2.27 
23,류진욱,23N, 2.62 , 70 , 0 , 0 , 0 , 1 , 4 , 0 , 22 , 67.0 , 19 , 16 , 268 , 41 , 2 , 2 , 1 , 32 , 1 , 1 , 62 , 0 , 5 , 2.15 , 3.22 , 1.09 , 193.8 , 130.3 , 2.62 , 1.13 
24,주현상,23한, 2.59 , 55 , 0 , 0 , 0 , 2 , 2 , 0 , 12 , 59.2 , 13 , 13 , 228 , 35 , 6 , 1 , 2 , 15 , 1 , 3 , 45 , 0 , 0 , 1.96 , 3.22 , 0.84 , 211.7 , 128.5 , 2.59 , 1.41 
25,문동주,23한, 2.52 , 23 , 0 , 0 , 23 , 8 , 8 , 0 , 0 , 118.2 , 52 , 49 , 503 , 113 , 20 , 2 , 6 , 42 , 0 , 4 , 95 , 1 , 5 , 3.72 , 3.66 , 1.31 , 111.7 , 113.2 , 2.52 , -0.08 
26,엄상백,23K, 2.45 , 20 , 0 , 0 , 19 , 7 , 6 , 0 , 0 , 111.2 , 46 , 45 , 454 , 100 , 16 , 4 , 6 , 29 , 0 , 2 , 89 , 0 , 1 , 3.63 , 3.38 , 1.16 , 116.4 , 123.6 , 2.45 , 0.86 
27,벤자민,23K, 2.40 , 29 , 0 , 0 , 29 , 15 , 6 , 0 , 0 , 160.0 , 79 , 63 , 684 , 149 , 23 , 1 , 12 , 45 , 1 , 3 , 157 , 0 , 11 , 3.54 , 3.34 , 1.21 , 119.2 , 125.5 , 2.40 , 0.37 
28,임찬규,23L, 2.38 , 30 , 0 , 0 , 26 , 14 , 3 , 0 , 1 , 144.2 , 63 , 55 , 632 , 142 , 22 , 2 , 10 , 54 , 1 , 5 , 103 , 1 , 1 , 3.42 , 4.12 , 1.36 , 119.3 , 99.1 , 2.38 , 1.01 
29,노경은,23S, 2.36 , 76 , 0 , 0 , 0 , 8 , 5 , 2 , 29 , 83.0 , 33 , 33 , 357 , 78 , 13 , 2 , 4 , 36 , 5 , 4 , 65 , 0 , 8 , 3.58 , 3.77 , 1.37 , 117.0 , 111.8 , 2.36 , 1.75 
30,맥카티,23S, 2.32 , 24 , 0 , 0 , 24 , 9 , 5 , 0 , 0 , 130.0 , 58 , 49 , 543 , 124 , 19 , 2 , 10 , 45 , 0 , 1 , 116 , 1 , 4 , 3.39 , 3.72 , 1.30 , 123.4 , 114.0 , 2.32 , 0.59 
