순,이름,연도,WAR,-,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wOBA,wRC+,WAR2,--
85,김상수,15+삼SS, 27.59 , 1681 , 6339 , 5531 , 812 , 1499 , 245 , 34 , 58 , 1986 , 605 , 256 , 75 , 539 , 93 , 6 , 831 , 138 , 123 , 53 , .271 , .343 , .359 , .702 , .323 , 86.3 , 27.59 ,
86,이정훈,11빙RF, 27.57 , 918 , 3512 , 3072 , 515 , 918 , 152 , 37 , 66 , 1342 , 353 , 151 , 55 , 312 , 44 , 19 , 246 , 34 , 52 , 32 , .299 , .368 , .437 , .805 , .366 , 128.8 , 27.57 ,
87,이호성,12해LF, 27.50 , 1090 , 4173 , 3563 , 569 , 968 , 159 , 22 , 102 , 1477 , 526 , 167 , 55 , 498 , 44 , 10 , 659 , 89 , 38 , 30 , .272 , .365 , .415 , .780 , .356 , 118.2 , 27.50 ,
88,박경수,19+k2B, 27.48 , 2037 , 6684 , 5604 , 725 , 1394 , 269 , 13 , 161 , 2172 , 718 , 78 , 44 , 783 , 122 , 17 , 1359 , 144 , 118 , 57 , .249 , .350 , .388 , .738 , .336 , 96.2 , 27.48 ,
89,김형석,14ORF, 27.20 , 1416 , 5413 , 4866 , 548 , 1345 , 221 , 44 , 119 , 2011 , 656 , 45 , 45 , 454 , 20 , 59 , 686 , 128 , 26 , 46 , .276 , .338 , .413 , .751 , .343 , 113.4 , 27.20 ,
90,류중일,13삼SS, 26.01 , 1095 , 3809 , 3293 , 475 , 874 , 150 , 24 , 45 , 1207 , 359 , 109 , 40 , 363 , 38 , 2 , 507 , 62 , 91 , 23 , .265 , .343 , .367 , .710 , .327 , 99.6 , 26.01 ,
91,김경기,12태1B, 25.65 , 1182 , 4576 , 4020 , 515 , 1106 , 206 , 13 , 138 , 1752 , 598 , 42 , 39 , 449 , 65 , 37 , 615 , 111 , 10 , 32 , .275 , .355 , .436 , .791 , .359 , 119.7 , 25.65 ,
92,오재일,16+두1B, 25.59 , 1384 , 4843 , 4200 , 583 , 1157 , 256 , 6 , 204 , 2037 , 828 , 14 , 7 , 547 , 28 , 29 , 1042 , 61 , 11 , 57 , .275 , .358 , .485 , .843 , .374 , 124.3 , 25.59 ,
93,이강돈,12빙LF, 25.51 , 1217 , 4475 , 3979 , 533 , 1132 , 202 , 38 , 87 , 1671 , 556 , 88 , 75 , 387 , 17 , 21 , 657 , 68 , 53 , 38 , .284 , .347 , .420 , .767 , .352 , 118.4 , 25.51 ,
94,정수빈,14+두CF, 25.29 , 1536 , 5436 , 4743 , 815 , 1324 , 181 , 84 , 32 , 1769 , 498 , 271 , 86 , 469 , 71 , 9 , 704 , 66 , 114 , 39 , .279 , .350 , .373 , .723 , .331 , 92.7 , 25.29 ,
95,박해민,11+삼CF, 25.27 , 1381 , 5755 , 5038 , 883 , 1445 , 204 , 64 , 51 , 1930 , 520 , 368 , 105 , 502 , 35 , 6 , 833 , 58 , 139 , 41 , .287 , .353 , .383 , .736 , .333 , 93.4 , 25.27 ,
96,민병헌,15두RF, 24.98 , 1438 , 4857 , 4285 , 751 , 1266 , 214 , 24 , 99 , 1825 , 578 , 187 , 70 , 388 , 85 , 9 , 720 , 113 , 48 , 51 , .295 , .362 , .426 , .788 , .355 , 111.2 , 24.98 ,
97,손시헌,15두SS, 24.74 , 1559 , 5359 , 4657 , 546 , 1265 , 224 , 25 , 70 , 1749 , 550 , 31 , 24 , 430 , 111 , 6 , 693 , 123 , 116 , 45 , .272 , .345 , .376 , .720 , .328 , 90.1 , 24.74 ,
98,우즈,5두1B, 24.60 , 614 , 2624 , 2228 , 412 , 655 , 90 , 6 , 174 , 1279 , 510 , 27 , 10 , 358 , 17 , 25 , 610 , 62 , 0 , 21 , .294 , .393 , .574 , .967 , .414 , 153.6 , 24.60 ,
99,브리또,6SSS, 24.49 , 635 , 2669 , 2343 , 347 , 683 , 131 , 5 , 112 , 1160 , 391 , 13 , 12 , 199 , 89 , 16 , 352 , 54 , 19 , 19 , .292 , .366 , .495 , .862 , .379 , 128.1 , 24.49 ,
100,김재호,18+두SS, 24.40 , 1730 , 5176 , 4391 , 641 , 1196 , 205 , 26 , 53 , 1612 , 587 , 79 , 40 , 562 , 49 , 9 , 627 , 139 , 96 , 78 , .272 , .356 , .367 , .723 , .332 , 95.2 , 24.40 ,
101,강동우,15삼CF, 24.14 , 1427 , 5319 , 4613 , 687 , 1247 , 199 , 32 , 75 , 1735 , 456 , 133 , 58 , 556 , 23 , 10 , 611 , 102 , 93 , 30 , .270 , .350 , .376 , .726 , .332 , 97.8 , 24.14 ,
102,허경민,12+두3B, 24.14 , 1430 , 5248 , 4641 , 693 , 1349 , 238 , 18 , 52 , 1779 , 572 , 120 , 57 , 371 , 119 , 12 , 417 , 141 , 61 , 56 , .291 , .355 , .383 , .738 , .339 , 99.4 , 24.14 ,
103,김상훈,12M1B, 23.05 , 1143 , 4545 , 4101 , 449 , 1181 , 210 , 31 , 72 , 1669 , 572 , 50 , 25 , 356 , 38 , 36 , 454 , 113 , 8 , 42 , .288 , .347 , .407 , .754 , .350 , 118.1 , 23.05 ,
104,테임즈,3N1B, 23.00 , 390 , 1638 , 1351 , 343 , 472 , 102 , 14 , 124 , 974 , 382 , 64 , 14 , 235 , 32 , 22 , 293 , 15 , 0 , 20 , .349 , .451 , .721 , 1.172 , .487 , 188.4 , 23.00 ,
105,김민성,17+넥3B, 22.89 , 1693 , 5966 , 5228 , 662 , 1405 , 280 , 11 , 130 , 2097 , 724 , 52 , 30 , 478 , 107 , 16 , 1013 , 131 , 96 , 57 , .269 , .339 , .401 , .740 , .334 , 95.4 , 22.89 ,
106,윤덕규,13태LF, 22.60 , 1275 , 4545 , 4073 , 480 , 1161 , 192 , 48 , 47 , 1590 , 438 , 73 , 55 , 338 , 27 , 22 , 490 , 97 , 46 , 31 , .285 , .342 , .390 , .732 , .336 , 108.1 , 22.60 ,
107,이종두,13삼RF, 22.40 , 1054 , 3580 , 3133 , 498 , 845 , 131 , 20 , 105 , 1331 , 438 , 127 , 59 , 319 , 44 , 5 , 500 , 80 , 54 , 30 , .270 , .343 , .425 , .767 , .352 , 118.2 , 22.40 ,
108,유승안,10빙C, 22.16 , 787 , 2508 , 2189 , 238 , 576 , 85 , 3 , 92 , 943 , 359 , 15 , 22 , 264 , 10 , 22 , 411 , 50 , 18 , 27 , .263 , .341 , .431 , .772 , .354 , 118.9 , 22.16 ,
109,한유섬,11+SRF, 22.04 , 980 , 3662 , 3132 , 466 , 852 , 168 , 10 , 173 , 1559 , 593 , 15 , 10 , 371 , 117 , 21 , 805 , 61 , 8 , 34 , .272 , .367 , .498 , .865 , .384 , 125.3 , 22.04 ,
110,로하스,4kCF, 21.44 , 511 , 2216 , 1970 , 350 , 632 , 125 , 8 , 132 , 1169 , 409 , 27 , 26 , 207 , 20 , 14 , 475 , 31 , 1 , 18 , .321 , .388 , .593 , .981 , .422 , 151.0 , 21.44 ,
111,김혜성,7+키2B, 21.27 , 824 , 3243 , 2918 , 500 , 876 , 125 , 34 , 26 , 1147 , 311 , 181 , 30 , 275 , 13 , 11 , 560 , 39 , 9 , 28 , .300 , .360 , .393 , .753 , .348 , 105.0 , 21.27 ,
112,이명수,13O2B, 21.23 , 1219 , 4069 , 3504 , 383 , 953 , 140 , 21 , 61 , 1318 , 423 , 28 , 39 , 426 , 17 , 7 , 502 , 90 , 92 , 30 , .272 , .351 , .376 , .727 , .332 , 101.7 , 21.23 ,
113,최준석,16두DH, 21.06 , 1564 , 5375 , 4613 , 543 , 1270 , 177 , 5 , 201 , 2060 , 881 , 10 , 8 , 677 , 28 , 21 , 1079 , 168 , 14 , 43 , .275 , .368 , .447 , .815 , .369 , 117.7 , 21.06 ,
114,장태수,11삼CF, 21.03 , 991 , 3010 , 2532 , 428 , 692 , 110 , 20 , 48 , 986 , 291 , 151 , 71 , 331 , 41 , 2 , 324 , 40 , 80 , 24 , .273 , .363 , .389 , .753 , .346 , 113.0 , 21.03 ,
115,유강남,11+LC, 20.88 , 1147 , 3716 , 3318 , 381 , 884 , 149 , 1 , 112 , 1371 , 498 , 8 , 3 , 236 , 97 , 7 , 659 , 112 , 38 , 27 , .266 , .331 , .413 , .744 , .335 , 101.4 , 20.88 ,
116,이원석,18+삼3B, 20.78 , 1775 , 6150 , 5383 , 645 , 1409 , 245 , 16 , 144 , 2118 , 783 , 25 , 26 , 532 , 72 , 16 , 1033 , 126 , 92 , 71 , .262 , .332 , .393 , .726 , .329 , 92.1 , 20.78 ,
117,채은성,10+LRF, 20.60 , 1140 , 4330 , 3846 , 508 , 1127 , 188 , 16 , 119 , 1704 , 678 , 35 , 30 , 290 , 119 , 18 , 715 , 98 , 17 , 58 , .293 , .356 , .443 , .799 , .360 , 114.1 , 20.60 ,
