순,이름,연도,WAR,-,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wOBA,wRC+,WAR2,--
154,로맥,5S1B, 16.34 , 626 , 2628 , 2231 , 386 , 610 , 109 , 1 , 155 , 1186 , 409 , 22 , 11 , 345 , 32 , 11 , 555 , 38 , 0 , 20 , .273 , .376 , .532 , .907 , .397 , 131.9 , 16.34 ,
155,이해창,6MCF, 16.26 , 577 , 2146 , 1873 , 317 , 508 , 88 , 19 , 32 , 730 , 181 , 144 , 81 , 225 , 17 , 5 , 239 , 23 , 13 , 18 , .271 , .352 , .390 , .741 , .346 , 117.7 , 16.26 ,
156,고영민,14두2B, 16.06 , 879 , 2727 , 2306 , 427 , 581 , 100 , 15 , 46 , 849 , 292 , 133 , 47 , 278 , 84 , 3 , 553 , 49 , 36 , 22 , .252 , .351 , .368 , .719 , .335 , 95.2 , 16.06 ,
157,김봉연,7해DH, 16.04 , 630 , 2438 , 2145 , 311 , 596 , 84 , 8 , 110 , 1026 , 334 , 24 , 18 , 241 , 21 , 14 , 187 , 59 , 16 , 12 , .278 , .355 , .478 , .833 , .379 , 139.4 , 16.04 ,
158,이대형,17LCF, 16.01 , 1603 , 5683 , 5083 , 807 , 1414 , 132 , 38 , 9 , 1649 , 361 , 505 , 177 , 437 , 24 , 8 , 848 , 50 , 121 , 18 , .278 , .337 , .324 , .662 , .308 , 76.1 , 16.01 ,
159,장채근,10해C, 16.00 , 734 , 2287 , 1979 , 237 , 452 , 74 , 0 , 97 , 817 , 285 , 6 , 7 , 240 , 18 , 4 , 367 , 68 , 38 , 12 , .228 , .316 , .413 , .729 , .332 , 105.7 , 16.00 ,
160,최희섭,8K1B, 15.98 , 634 , 2541 , 2131 , 327 , 598 , 115 , 4 , 100 , 1021 , 393 , 16 , 14 , 365 , 24 , 31 , 515 , 67 , 0 , 21 , .281 , .388 , .479 , .868 , .391 , 135.6 , 15.98 ,
161,장성우,12+kC, 15.90 , 1221 , 3835 , 3349 , 354 , 874 , 126 , 2 , 100 , 1304 , 508 , 8 , 12 , 384 , 16 , 10 , 683 , 109 , 39 , 47 , .261 , .336 , .389 , .725 , .329 , 89.8 , 15.90 ,
162,이성열,18한RF, 15.75 , 1506 , 4710 , 4134 , 588 , 1047 , 187 , 17 , 190 , 1838 , 698 , 63 , 40 , 369 , 147 , 13 , 1359 , 55 , 31 , 28 , .253 , .334 , .445 , .779 , .349 , 104.1 , 15.75 ,
163,최재훈,13+한C, 15.70 , 1117 , 3278 , 2751 , 301 , 710 , 127 , 1 , 25 , 914 , 254 , 16 , 18 , 320 , 133 , 3 , 462 , 90 , 54 , 19 , .258 , .361 , .332 , .693 , .328 , 91.2 , 15.70 ,
164,허규옥,11삼LF, 15.33 , 833 , 2808 , 2507 , 375 , 705 , 97 , 37 , 21 , 939 , 225 , 156 , 68 , 221 , 14 , 6 , 358 , 31 , 55 , 11 , .281 , .341 , .375 , .716 , .331 , 102.5 , 15.33 ,
165,김대익,12롯CF, 15.33 , 1193 , 3834 , 3372 , 481 , 910 , 177 , 24 , 45 , 1270 , 332 , 102 , 67 , 315 , 30 , 14 , 573 , 46 , 90 , 27 , .270 , .335 , .377 , .712 , .318 , 90.9 , 15.33 ,
166,박승호,11삼DH, 15.16 , 947 , 2867 , 2485 , 312 , 685 , 125 , 5 , 87 , 1081 , 432 , 20 , 18 , 295 , 51 , 29 , 273 , 53 , 10 , 26 , .276 , .361 , .435 , .796 , .367 , 128.6 , 15.16 ,
167,김창희,13해CF, 15.14 , 1345 , 4175 , 3608 , 427 , 926 , 167 , 9 , 68 , 1315 , 438 , 44 , 34 , 409 , 70 , 13 , 657 , 111 , 65 , 23 , .257 , .342 , .364 , .706 , .323 , 91.7 , 15.14 ,
168,노진혁,10+NSS, 15.09 , 912 , 2973 , 2636 , 345 , 697 , 158 , 12 , 75 , 1104 , 379 , 15 , 15 , 270 , 20 , 9 , 658 , 45 , 27 , 19 , .264 , .335 , .419 , .754 , .341 , 97.4 , 15.09 ,
169,박종훈,7OCF, 14.82 , 679 , 2518 , 2209 , 281 , 640 , 94 , 17 , 32 , 864 , 231 , 71 , 40 , 213 , 21 , 8 , 145 , 28 , 57 , 18 , .290 , .355 , .391 , .746 , .343 , 114.8 , 14.82 ,
170,김원섭,15KLF, 14.75 , 1092 , 3396 , 2835 , 442 , 767 , 131 , 33 , 27 , 1045 , 307 , 103 , 51 , 436 , 19 , 4 , 452 , 52 , 85 , 21 , .271 , .369 , .369 , .738 , .341 , 98.3 , 14.75 ,
171,송광민,13한3B, 14.43 , 1060 , 3888 , 3601 , 489 , 1028 , 181 , 5 , 111 , 1552 , 530 , 30 , 17 , 192 , 32 , 6 , 812 , 125 , 31 , 32 , .285 , .325 , .431 , .756 , .336 , 94.5 , 14.43 ,
172,백인호,12해2B, 14.42 , 953 , 3265 , 2853 , 329 , 743 , 111 , 15 , 40 , 1004 , 270 , 82 , 43 , 287 , 46 , 9 , 312 , 72 , 66 , 13 , .260 , .336 , .352 , .688 , .320 , 95.1 , 14.42 ,
173,공필성,11롯3B, 14.41 , 1184 , 3577 , 3061 , 363 , 760 , 151 , 26 , 41 , 1086 , 346 , 106 , 46 , 277 , 94 , 8 , 580 , 61 , 110 , 35 , .248 , .326 , .355 , .681 , .308 , 87.1 , 14.41 ,
174,페르난데스,4+두DH, 14.39 , 568 , 2480 , 2206 , 316 , 723 , 115 , 0 , 57 , 1009 , 351 , 1 , 5 , 219 , 27 , 8 , 176 , 101 , 0 , 28 , .328 , .391 , .457 , .848 , .390 , 140.4 , 14.39 ,
175,김용희,8롯3B, 14.36 , 534 , 1975 , 1783 , 201 , 482 , 69 , 10 , 61 , 754 , 260 , 15 , 13 , 151 , 18 , 8 , 161 , 56 , 8 , 15 , .270 , .331 , .423 , .754 , .347 , 117.2 , 14.36 ,
176,송구홍,9L3B, 14.35 , 712 , 2587 , 2287 , 314 , 622 , 105 , 10 , 42 , 873 , 235 , 97 , 38 , 148 , 72 , 7 , 253 , 67 , 65 , 15 , .272 , .334 , .382 , .716 , .323 , 96.1 , 14.35 ,
177,조경환,10롯RF, 14.24 , 897 , 3006 , 2622 , 350 , 683 , 141 , 10 , 131 , 1237 , 444 , 12 , 19 , 274 , 60 , 9 , 781 , 46 , 36 , 14 , .260 , .342 , .472 , .814 , .357 , 116.1 , 14.24 ,
178,장원진,15두LF, 14.22 , 1500 , 5277 , 4733 , 612 , 1342 , 193 , 25 , 51 , 1738 , 505 , 58 , 45 , 387 , 57 , 9 , 560 , 89 , 56 , 44 , .284 , .342 , .367 , .709 , .325 , 96.8 , 14.22 ,
179,최익성,12삼CF, 14.06 , 621 , 2006 , 1686 , 309 , 450 , 83 , 6 , 60 , 725 , 216 , 85 , 23 , 200 , 78 , 8 , 304 , 31 , 31 , 11 , .267 , .369 , .430 , .799 , .357 , 118.4 , 14.06 ,
180,김용국,11삼3B, 13.87 , 1092 , 3457 , 3018 , 359 , 753 , 123 , 9 , 46 , 1032 , 358 , 50 , 34 , 324 , 20 , 4 , 390 , 77 , 57 , 38 , .250 , .323 , .342 , .665 , .310 , 90.5 , 13.87 ,
181,최기문,13롯C, 13.76 , 1075 , 2953 , 2595 , 307 , 681 , 124 , 17 , 35 , 944 , 270 , 46 , 30 , 216 , 47 , 10 , 322 , 42 , 82 , 13 , .262 , .329 , .364 , .693 , .310 , 83.2 , 13.76 ,
182,서정환,8해2B, 13.66 , 712 , 2583 , 2277 , 289 , 609 , 75 , 9 , 22 , 768 , 199 , 136 , 70 , 213 , 33 , 7 , 265 , 39 , 52 , 8 , .267 , .338 , .337 , .675 , .316 , 95.0 , 13.66 ,
183,김민호,11OSS, 13.63 , 1113 , 3865 , 3400 , 472 , 838 , 132 , 25 , 29 , 1107 , 277 , 232 , 62 , 262 , 55 , 3 , 576 , 57 , 119 , 29 , .246 , .308 , .326 , .634 , .287 , 69.9 , 13.63 ,
184,이명기,14+KRF, 13.59 , 1031 , 4070 , 3612 , 574 , 1103 , 166 , 28 , 28 , 1409 , 325 , 107 , 60 , 324 , 35 , 5 , 553 , 53 , 78 , 21 , .305 , .366 , .390 , .756 , .344 , 102.3 , 13.59 ,
185,박철우,12해LF, 13.48 , 961 , 2856 , 2519 , 247 , 701 , 121 , 5 , 59 , 1009 , 372 , 7 , 9 , 269 , 48 , 28 , 356 , 69 , 11 , 9 , .278 , .358 , .401 , .758 , .352 , 118.7 , 13.48 ,
186,러프,3삼1B, 13.38 , 404 , 1756 , 1493 , 267 , 467 , 105 , 6 , 86 , 842 , 350 , 13 , 8 , 205 , 37 , 10 , 301 , 49 , 0 , 21 , .313 , .404 , .564 , .968 , .418 , 147.1 , 13.38 ,
187,김일권,10해CF, 13.35 , 842 , 3196 , 2817 , 364 , 713 , 101 , 16 , 28 , 930 , 243 , 363 , 146 , 267 , 22 , 11 , 187 , 56 , 70 , 20 , .253 , .321 , .330 , .651 , .303 , 84.5 , 13.35 ,
188,노시환,5+한3B, 13.34 , 548 , 2109 , 1839 , 260 , 484 , 98 , 6 , 68 , 798 , 298 , 15 , 8 , 238 , 17 , 16 , 507 , 52 , 2 , 13 , .263 , .351 , .434 , .785 , .358 , 116.3 , 13.34 ,
189,김상훈,15KC, 13.20 , 1388 , 4401 , 3882 , 376 , 941 , 154 , 3 , 67 , 1302 , 459 , 16 , 16 , 332 , 39 , 6 , 684 , 98 , 120 , 28 , .242 , .307 , .335 , .642 , .292 , 68.8 , 13.20 ,
190,피렐라,3+삼LF, 12.90 , 418 , 1848 , 1664 , 269 , 506 , 84 , 7 , 72 , 820 , 283 , 30 , 15 , 154 , 24 , 19 , 237 , 46 , 0 , 6 , .304 , .370 , .493 , .863 , .391 , 135.9 , 12.90 ,
191,김진우,6삼C, 12.84 , 471 , 1701 , 1453 , 168 , 363 , 62 , 5 , 43 , 564 , 173 , 16 , 13 , 196 , 25 , 10 , 240 , 52 , 14 , 13 , .250 , .346 , .388 , .734 , .342 , 114.6 , 12.84 ,
192,임수혁,7롯C, 12.70 , 488 , 1479 , 1296 , 148 , 345 , 53 , 8 , 47 , 555 , 257 , 7 , 8 , 157 , 6 , 11 , 234 , 46 , 6 , 14 , .266 , .345 , .428 , .773 , .347 , 112.9 , 12.70 ,
193,나바로,2삼2B, 12.67 , 265 , 1245 , 1034 , 244 , 307 , 46 , 2 , 79 , 594 , 235 , 47 , 15 , 189 , 7 , 9 , 143 , 17 , 1 , 14 , .297 , .404 , .574 , .979 , .420 , 141.2 , 12.67 ,
194,이종열,18L2B, 12.65 , 1654 , 5461 , 4748 , 588 , 1175 , 158 , 41 , 52 , 1571 , 448 , 131 , 69 , 429 , 69 , 4 , 621 , 89 , 187 , 28 , .247 , .317 , .331 , .648 , .294 , 73.7 , 12.65 ,
195,이재주,17KDH, 12.43 , 981 , 2567 , 2200 , 239 , 554 , 111 , 4 , 82 , 919 , 355 , 4 , 13 , 306 , 25 , 9 , 541 , 61 , 13 , 23 , .252 , .347 , .418 , .764 , .349 , 109.8 , 12.43 ,
196,정은원,6+한2B, 12.34 , 718 , 2820 , 2408 , 345 , 627 , 95 , 18 , 31 , 851 , 224 , 55 , 29 , 363 , 11 , 2 , 479 , 33 , 23 , 15 , .260 , .358 , .353 , .711 , .336 , 98.7 , 12.34 ,
197,고원부,7빙RF, 12.30 , 594 , 2170 , 1881 , 239 , 526 , 72 , 9 , 37 , 727 , 244 , 52 , 32 , 229 , 16 , 9 , 159 , 59 , 27 , 17 , .280 , .360 , .387 , .746 , .349 , 112.9 , 12.30 ,
198,백재호,11한2B, 12.17 , 1007 , 2952 , 2571 , 278 , 631 , 130 , 6 , 68 , 977 , 306 , 19 , 13 , 272 , 36 , 3 , 481 , 65 , 52 , 21 , .245 , .324 , .380 , .704 , .316 , 88.7 , 12.17 ,
199,김호,11쌍SS, 12.15 , 1170 , 3812 , 3288 , 405 , 746 , 109 , 26 , 53 , 1066 , 338 , 131 , 65 , 381 , 11 , 3 , 701 , 64 , 112 , 19 , .227 , .308 , .324 , .632 , .288 , 71.3 , 12.15 ,
200,김성현,16+S2B, 12.07 , 1488 , 4569 , 4013 , 522 , 1090 , 179 , 10 , 43 , 1418 , 428 , 46 , 31 , 362 , 49 , 2 , 430 , 120 , 109 , 35 , .272 , .337 , .353 , .690 , .315 , 84.8 , 12.07 ,
201,이대수,17한SS, 11.98 , 1190 , 3252 , 2860 , 328 , 736 , 131 , 21 , 35 , 1014 , 299 , 43 , 29 , 224 , 47 , 0 , 523 , 64 , 95 , 25 , .257 , .319 , .355 , .674 , .308 , 75.3 , 11.98 ,
202,권희동,10+NLF, 11.87 , 950 , 3293 , 2789 , 392 , 728 , 123 , 7 , 88 , 1129 , 441 , 26 , 10 , 369 , 64 , 8 , 524 , 54 , 38 , 33 , .261 , .357 , .405 , .762 , .346 , 101.7 , 11.87 ,
203,박흥식,9MCF, 11.81 , 660 , 2397 , 2024 , 252 , 519 , 65 , 25 , 12 , 670 , 189 , 73 , 45 , 261 , 46 , 1 , 218 , 37 , 52 , 14 , .256 , .352 , .331 , .683 , .324 , 98.2 , 11.81 ,
204,김우열,5ORF, 11.64 , 342 , 1256 , 1076 , 160 , 299 , 45 , 6 , 41 , 479 , 173 , 44 , 16 , 155 , 16 , 12 , 141 , 15 , 2 , 7 , .278 , .375 , .445 , .820 , .376 , 140.0 , 11.64 ,
205,가르시아,4롯RF, 11.45 , 445 , 1829 , 1624 , 250 , 428 , 82 , 4 , 103 , 827 , 339 , 10 , 9 , 183 , 10 , 10 , 402 , 30 , 0 , 12 , .264 , .340 , .509 , .849 , .375 , 123.4 , 11.45 ,
206,김광수,11O2B, 11.44 , 1046 , 4082 , 3457 , 434 , 859 , 116 , 13 , 27 , 1082 , 306 , 189 , 101 , 393 , 50 , 6 , 267 , 88 , 164 , 17 , .248 , .332 , .313 , .645 , .300 , 80.8 , 11.44 ,
207,이형종,8+LLF, 11.38 , 723 , 2589 , 2252 , 321 , 612 , 126 , 6 , 66 , 948 , 291 , 28 , 16 , 233 , 64 , 5 , 467 , 53 , 20 , 20 , .272 , .354 , .421 , .775 , .351 , 110.6 , 11.38 ,
208,나주환,17SSS, 11.21 , 1506 , 4414 , 3886 , 524 , 1018 , 183 , 12 , 89 , 1492 , 496 , 83 , 58 , 288 , 57 , 5 , 792 , 95 , 147 , 36 , .262 , .319 , .384 , .703 , .311 , 79.2 , 11.21 ,
209,김경언,16한RF, 11.12 , 1183 , 3455 , 2973 , 385 , 805 , 144 , 18 , 55 , 1150 , 393 , 56 , 42 , 374 , 25 , 10 , 657 , 49 , 54 , 29 , .271 , .354 , .387 , .741 , .338 , 96.1 , 11.12 ,
210,유두열,9롯DH, 11.12 , 734 , 2593 , 2224 , 298 , 588 , 102 , 14 , 58 , 892 , 268 , 56 , 40 , 256 , 47 , 12 , 220 , 47 , 46 , 20 , .264 , .350 , .401 , .751 , .345 , 114.7 , 11.12 ,
211,강영수,10OLF, 11.03 , 828 , 2474 , 2092 , 274 , 464 , 83 , 8 , 86 , 821 , 311 , 18 , 14 , 329 , 17 , 10 , 524 , 47 , 15 , 21 , .222 , .329 , .392 , .722 , .332 , 106.2 , 11.03 ,
212,신경현,13한C, 10.97 , 976 , 2659 , 2359 , 236 , 595 , 95 , 6 , 31 , 795 , 224 , 29 , 24 , 218 , 15 , 2 , 437 , 68 , 50 , 17 , .252 , .317 , .337 , .654 , .303 , 77.0 , 10.97 ,
213,박재상,13SLF, 10.89 , 1087 , 3619 , 3084 , 459 , 807 , 161 , 19 , 65 , 1201 , 394 , 135 , 66 , 361 , 41 , 8 , 597 , 52 , 110 , 23 , .262 , .345 , .389 , .734 , .331 , 92.4 , 10.89 ,
214,서용빈,9L1B, 10.81 , 828 , 2952 , 2625 , 307 , 760 , 139 , 22 , 22 , 1009 , 350 , 31 , 19 , 238 , 32 , 21 , 353 , 61 , 35 , 21 , .290 , .353 , .384 , .738 , .335 , 105.5 , 10.81 ,
215,강정길,10빙DH, 10.62 , 1037 , 3337 , 2871 , 302 , 765 , 134 , 9 , 52 , 1073 , 387 , 28 , 30 , 351 , 45 , 17 , 362 , 83 , 38 , 32 , .266 , .352 , .374 , .726 , .338 , 109.8 , 10.62 ,
216,정의윤,15SDH, 10.58 , 1369 , 4454 , 4060 , 457 , 1127 , 185 , 13 , 119 , 1695 , 563 , 29 , 21 , 268 , 69 , 16 , 641 , 114 , 19 , 37 , .278 , .330 , .417 , .748 , .338 , 98.0 , 10.58 ,
217,모창민,13N3B, 10.57 , 1042 , 3052 , 2740 , 401 , 773 , 141 , 13 , 92 , 1216 , 439 , 74 , 38 , 229 , 11 , 4 , 532 , 74 , 34 , 38 , .282 , .336 , .444 , .779 , .345 , 100.8 , 10.57 ,
218,김성현,10삼C, 10.50 , 622 , 1672 , 1490 , 156 , 381 , 49 , 12 , 35 , 559 , 199 , 16 , 13 , 118 , 20 , 9 , 264 , 39 , 26 , 18 , .256 , .315 , .375 , .691 , .313 , 94.7 , 10.50 ,
219,김준환,8해RF, 10.48 , 668 , 2408 , 2170 , 255 , 588 , 76 , 7 , 61 , 861 , 285 , 41 , 24 , 171 , 17 , 5 , 261 , 67 , 20 , 29 , .271 , .325 , .397 , .722 , .333 , 107.0 , 10.48 ,
220,정상호,18SC, 10.44 , 1154 , 2787 , 2453 , 285 , 600 , 126 , 3 , 73 , 951 , 346 , 3 , 14 , 184 , 62 , 2 , 697 , 64 , 67 , 21 , .245 , .311 , .388 , .699 , .312 , 80.4 , 10.44 ,
221,전대영,9빙2B, 10.42 , 584 , 1471 , 1292 , 149 , 351 , 53 , 6 , 52 , 572 , 220 , 12 , 5 , 146 , 9 , 1 , 231 , 40 , 12 , 12 , .272 , .347 , .443 , .790 , .363 , 125.8 , 10.42 ,
222,김태완,11한DH, 10.33 , 720 , 2261 , 1898 , 256 , 500 , 82 , 3 , 80 , 828 , 295 , 9 , 10 , 293 , 53 , 14 , 491 , 52 , 0 , 15 , .263 , .375 , .436 , .811 , .370 , 114.5 , 10.33 ,
223,배영섭,9삼CF, 10.33 , 633 , 2256 , 1944 , 300 , 534 , 83 , 7 , 16 , 679 , 169 , 94 , 32 , 225 , 51 , 5 , 324 , 42 , 25 , 11 , .275 , .363 , .349 , .712 , .336 , 93.5 , 10.33 ,
224,임재철,15두RF, 10.25 , 1139 , 2770 , 2333 , 358 , 610 , 97 , 18 , 30 , 833 , 231 , 69 , 32 , 283 , 67 , 4 , 450 , 57 , 72 , 15 , .261 , .356 , .357 , .713 , .328 , 91.1 , 10.25 ,
225,박성한,6+SSS, 10.25 , 484 , 1721 , 1501 , 182 , 422 , 67 , 5 , 17 , 550 , 157 , 29 , 15 , 184 , 4 , 2 , 248 , 14 , 24 , 8 , .281 , .360 , .366 , .726 , .339 , 96.9 , 10.25 ,
226,강봉규,15삼RF, 10.24 , 909 , 2336 , 1991 , 320 , 522 , 99 , 10 , 49 , 788 , 262 , 63 , 19 , 269 , 27 , 5 , 410 , 53 , 31 , 17 , .262 , .355 , .396 , .751 , .344 , 103.7 , 10.24 ,
227,서튼,3현LF, 10.14 , 246 , 1043 , 861 , 140 , 241 , 43 , 3 , 56 , 458 , 173 , 0 , 2 , 166 , 7 , 14 , 198 , 12 , 0 , 9 , .280 , .397 , .532 , .929 , .414 , 160.7 , 10.14 ,
228,박세혁,10+두C, 10.02 , 866 , 2556 , 2202 , 307 , 559 , 100 , 16 , 30 , 781 , 290 , 29 , 13 , 220 , 46 , 2 , 420 , 27 , 59 , 29 , .254 , .330 , .355 , .685 , .313 , 83.4 , 10.02 ,
229,이현곤,12K3B, 9.97 , 1000 , 3054 , 2672 , 289 , 726 , 140 , 6 , 23 , 947 , 267 , 39 , 22 , 221 , 33 , 1 , 388 , 75 , 97 , 29 , .272 , .332 , .354 , .686 , .312 , 82.1 , 9.97 ,
230,클락,3한LF, 9.93 , 342 , 1502 , 1305 , 239 , 349 , 65 , 9 , 58 , 606 , 219 , 60 , 20 , 171 , 9 , 8 , 235 , 31 , 1 , 13 , .267 , .353 , .464 , .818 , .366 , 115.4 , 9.93 ,
231,임형석,8O3B, 9.86 , 628 , 2166 , 1930 , 222 , 476 , 78 , 14 , 48 , 726 , 240 , 26 , 26 , 192 , 11 , 4 , 397 , 50 , 15 , 18 , .247 , .316 , .376 , .692 , .319 , 97.2 , 9.86 ,
232,송일섭,8해LF, 9.83 , 613 , 1738 , 1512 , 183 , 389 , 73 , 4 , 39 , 587 , 163 , 15 , 14 , 170 , 39 , 11 , 227 , 31 , 6 , 9 , .257 , .346 , .388 , .734 , .344 , 114.1 , 9.83 ,
233,터커,3KRF, 9.80 , 364 , 1569 , 1367 , 192 , 388 , 97 , 1 , 50 , 637 , 222 , 0 , 2 , 175 , 20 , 4 , 177 , 36 , 0 , 7 , .284 , .372 , .466 , .838 , .382 , 128.8 , 9.80 ,
234,이종도,6MRF, 9.71 , 482 , 1482 , 1284 , 174 , 344 , 69 , 6 , 28 , 509 , 176 , 50 , 15 , 154 , 20 , 4 , 187 , 26 , 10 , 14 , .268 , .352 , .396 , .748 , .347 , 119.3 , 9.71 ,
235,버나디나,2KCF, 9.67 , 270 , 1211 , 1070 , 224 , 337 , 51 , 11 , 47 , 551 , 181 , 64 , 20 , 104 , 21 , 5 , 215 , 18 , 6 , 10 , .315 , .383 , .515 , .898 , .388 , 126.7 , 9.67 ,
236,양석환,8+두1B, 9.56 , 890 , 3295 , 3003 , 378 , 795 , 154 , 6 , 122 , 1327 , 496 , 21 , 18 , 209 , 37 , 11 , 683 , 52 , 13 , 33 , .265 , .317 , .442 , .759 , .337 , 101.3 , 9.56 ,
237,배정대,8+kCF, 9.53 , 740 , 2358 , 2056 , 319 , 542 , 94 , 6 , 34 , 750 , 238 , 78 , 30 , 237 , 26 , 3 , 542 , 25 , 21 , 18 , .264 , .345 , .365 , .709 , .331 , 90.2 , 9.53 ,
238,윤석민,14넥DH, 9.53 , 941 , 3136 , 2821 , 372 , 805 , 137 , 4 , 103 , 1259 , 466 , 13 , 10 , 226 , 36 , 6 , 462 , 115 , 17 , 36 , .285 , .342 , .446 , .788 , .351 , 106.3 , 9.53 ,
239,정경훈,10삼SS, 9.52 , 704 , 1716 , 1476 , 270 , 360 , 53 , 10 , 10 , 463 , 135 , 182 , 52 , 170 , 11 , 2 , 248 , 23 , 46 , 13 , .244 , .324 , .314 , .638 , .296 , 79.4 , 9.52 ,
240,소크라테스,2+KCF, 9.50 , 264 , 1141 , 1041 , 173 , 310 , 58 , 10 , 37 , 499 , 168 , 27 , 11 , 86 , 3 , 8 , 160 , 23 , 0 , 11 , .298 , .350 , .479 , .829 , .374 , 131.8 , 9.50 ,
241,정현발,7삼CF, 9.48 , 477 , 1405 , 1202 , 158 , 313 , 59 , 4 , 46 , 518 , 187 , 15 , 19 , 161 , 6 , 3 , 204 , 29 , 22 , 14 , .260 , .347 , .431 , .778 , .355 , 122.0 , 9.48 ,
242,최훈재,13L1B, 9.48 , 1054 , 2979 , 2606 , 327 , 677 , 148 , 19 , 62 , 1049 , 368 , 22 , 22 , 285 , 25 , 11 , 329 , 62 , 34 , 29 , .260 , .335 , .403 , .738 , .333 , 103.6 , 9.48 ,
243,김바위,9청2B, 9.41 , 585 , 1681 , 1429 , 171 , 342 , 61 , 4 , 41 , 534 , 200 , 20 , 14 , 212 , 16 , 16 , 234 , 33 , 8 , 16 , .239 , .341 , .374 , .714 , .334 , 106.3 , 9.41 ,
244,알테어,2NCF, 9.34 , 279 , 1111 , 974 , 173 , 268 , 39 , 9 , 63 , 514 , 192 , 42 , 8 , 103 , 23 , 5 , 305 , 16 , 0 , 11 , .275 , .355 , .528 , .882 , .390 , 128.3 , 9.34 ,
245,최지훈,4+SCF, 9.33 , 520 , 2187 , 1949 , 299 , 536 , 89 , 23 , 18 , 725 , 163 , 95 , 21 , 165 , 23 , 0 , 278 , 20 , 36 , 14 , .275 , .337 , .372 , .709 , .327 , 95.2 , 9.33 ,
246,문보경,3+L3B, 9.28 , 361 , 1328 , 1145 , 165 , 332 , 62 , 9 , 27 , 493 , 167 , 19 , 9 , 150 , 3 , 4 , 202 , 21 , 17 , 13 , .290 , .370 , .431 , .801 , .366 , 125.6 , 9.28 ,
247,로마이어,3한DH, 9.27 , 315 , 1345 , 1165 , 192 , 337 , 68 , 4 , 85 , 668 , 252 , 9 , 6 , 152 , 12 , 11 , 265 , 33 , 0 , 16 , .289 , .373 , .573 , .946 , .401 , 137.7 , 9.27 ,
248,김무종,6해C, 9.11 , 445 , 1543 , 1357 , 137 , 326 , 62 , 6 , 41 , 523 , 192 , 4 , 11 , 115 , 13 , 6 , 187 , 35 , 35 , 23 , .240 , .301 , .385 , .687 , .311 , 92.2 , 9.11 ,
249,오대석,10삼2B, 9.07 , 723 , 2410 , 2055 , 249 , 514 , 77 , 7 , 36 , 713 , 248 , 41 , 20 , 250 , 22 , 4 , 263 , 47 , 59 , 22 , .250 , .335 , .347 , .682 , .316 , 94.2 , 9.07 ,
250,홍원기,12두3B, 8.99 , 1043 , 2683 , 2308 , 261 , 566 , 98 , 6 , 48 , 820 , 284 , 11 , 12 , 248 , 42 , 7 , 468 , 55 , 61 , 24 , .245 , .327 , .355 , .682 , .309 , 83.3 , 8.99 ,
251,정영규,9한RF, 8.96 , 655 , 1953 , 1719 , 214 , 440 , 84 , 15 , 45 , 689 , 180 , 13 , 28 , 173 , 33 , 10 , 362 , 26 , 15 , 13 , .256 , .333 , .401 , .734 , .335 , 102.9 , 8.96 ,
252,이선웅,10태SS, 8.79 , 878 , 2974 , 2633 , 223 , 666 , 102 , 7 , 23 , 851 , 282 , 35 , 26 , 233 , 32 , 9 , 250 , 99 , 54 , 22 , .253 , .319 , .323 , .642 , .301 , 82.3 , 8.79 ,
253,구천서,12O2B, 8.77 , 836 , 2236 , 1864 , 269 , 455 , 61 , 16 , 22 , 614 , 177 , 75 , 37 , 245 , 35 , 4 , 330 , 30 , 75 , 16 , .244 , .340 , .329 , .670 , .310 , 90.2 , 8.77 ,
254,이천웅,10+LCF, 8.74 , 622 , 2229 , 1953 , 291 , 564 , 88 , 9 , 18 , 724 , 211 , 58 , 39 , 220 , 25 , 5 , 300 , 55 , 19 , 12 , .289 , .366 , .371 , .737 , .342 , 103.8 , 8.74 ,
255,마르티네스,3LRF, 8.71 , 368 , 1570 , 1374 , 222 , 380 , 75 , 5 , 57 , 636 , 235 , 77 , 37 , 152 , 19 , 12 , 216 , 20 , 3 , 22 , .277 , .352 , .463 , .815 , .359 , 114.2 , 8.71 ,
256,이지영,13+삼C, 8.66 , 1270 , 3688 , 3367 , 362 , 941 , 100 , 16 , 16 , 1121 , 367 , 26 , 15 , 178 , 36 , 8 , 383 , 107 , 87 , 20 , .279 , .321 , .333 , .654 , .299 , 70.7 , 8.66 ,
257,심성보,9쌍RF, 8.51 , 758 , 2378 , 2126 , 258 , 547 , 111 , 16 , 63 , 879 , 321 , 33 , 23 , 179 , 18 , 12 , 400 , 39 , 22 , 32 , .257 , .316 , .413 , .729 , .323 , 93.7 , 8.51 ,
258,한동희,6+롯3B, 8.48 , 643 , 2302 , 2050 , 223 , 537 , 105 , 1 , 59 , 821 , 266 , 2 , 7 , 205 , 20 , 3 , 426 , 77 , 8 , 19 , .262 , .332 , .400 , .733 , .336 , 96.8 , 8.48 ,
259,박노준,12OLF, 8.39 , 1016 , 3280 , 2920 , 368 , 765 , 110 , 27 , 28 , 1013 , 266 , 154 , 73 , 223 , 44 , 7 , 302 , 39 , 84 , 8 , .262 , .323 , .347 , .670 , .309 , 89.6 , 8.39 ,
