이름,WAR,game,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷출루,피사구,피고의사구,피삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wOBA,wRC+,WAR2,WPA,Position,Player,Salary
김한별,-0.38,24,23,21,0,2,0,0,0,2,0,0,1,0,0,0,6,0,2,0, .095 , .095 , .095 , .191 , .082 , -66.8 ,-0.38,-0.39,Batter,김한별,3000.0
이해승,-0.38,46,106,99,11,23,3,0,0,26,5,0,0,1,0,0,29,1,6,0, .232 , .240 , .263 , .503 , .222 , 28.3 ,-0.38,-0.34,Batter,이해승,3000.0
김석환,-0.39,51,107,94,15,14,2,0,3,25,7,0,0,10,3,0,32,1,0,0, .149 , .252 , .266 , .518 , .250 , 47.0 ,-0.39,-1.07,Batter,,3100.0
이학주,-0.4,91,260,232,29,48,11,1,3,70,15,2,4,16,2,0,54,3,9,1, .207 , .263 , .302 , .565 , .256 , 49.3 ,-0.4,-1.92,Batter,이학주,7000.0
이용규,-0.41,86,326,271,34,54,6,0,0,60,21,12,2,45,7,0,42,7,1,2, .199 , .326 , .221 , .548 , .278 , 67.7 ,-0.41,0.64,Batter,이용규,40000.0
신본기,-0.47,74,138,121,9,22,3,0,1,28,8,0,1,10,2,0,28,5,4,1, .182 , .254 , .231 , .485 , .230 , 32.6 ,-0.47,-1.75,Batter,신본기,11500.0
김동엽,-0.48,30,100,95,9,21,5,0,2,32,4,0,3,4,0,0,22,1,0,1, .221 , .250 , .337 , .587 , .268 , 58.4 ,-0.48,-0.41,Batter,김동엽,15000.0
한태양,-0.49,38,72,61,14,9,1,0,0,10,3,1,0,5,2,0,24,1,4,0, .148 , .235 , .164 , .399 , .194 , 7.2 ,-0.49,-0.19,Batter,한태양,3000.0
강태율,-0.52,19,38,32,0,3,1,0,0,4,3,0,0,2,1,0,9,2,3,0, .094 , .171 , .125 , .296 , .142 , -28.1 ,-0.52,-0.48,Batter,강태율,3300.0
송민섭,-0.53,119,72,64,17,10,1,2,0,15,3,0,2,5,0,0,19,0,3,0, .156 , .217 , .234 , .452 , .206 , 17.1 ,-0.53,-0.59,Batter,송민섭,8100.0
김성현,-0.58,130,359,302,38,66,9,1,2,83,37,3,3,31,3,0,36,13,20,3, .219 , .295 , .275 , .570 , .259 , 53.9 ,-0.58,-0.25,Batter,김성현,20000.0
이도윤,-0.69,80,126,113,9,18,7,0,1,28,8,3,2,8,0,0,30,1,4,1, .159 , .213 , .248 , .461 , .210 , 20.5 ,-0.69,-1.37,Batter,이도윤,3400.0
박대온,-0.75,59,133,127,8,23,4,0,1,30,10,0,0,0,2,0,37,4,3,1, .181 , .192 , .236 , .429 , .194 , 10.5 ,-0.75,-1.69,Batter,박대온,4000.0
조세진,-0.76,39,88,86,6,16,3,0,0,19,6,0,1,1,0,0,25,4,1,0, .186 , .195 , .221 , .416 , .192 , 5.7 ,-0.76,-0.64,Batter,조세진,3000.0
유로결,-0.82,30,68,60,5,8,0,0,0,8,4,0,0,4,1,0,9,1,3,0, .133 , .200 , .133 , .333 , .164 , -11.4 ,-0.82,-1.05,Batter,유로결,3300.0
정보근,-0.91,95,226,199,8,38,2,0,1,43,15,1,0,14,2,0,55,4,10,1, .191 , .250 , .216 , .466 , .218 , 24.1 ,-0.91,-1.78,Batter,정보근,3400.0
박경수,-1.01,100,194,166,13,20,3,0,3,32,10,0,0,24,1,0,70,3,2,1, .120 , .234 , .193 , .427 , .213 , 21.9 ,-1.01,-2.16,Batter,박경수,29000.0
김헌곤,-1.58,80,239,224,18,43,8,0,1,54,20,3,1,9,1,0,22,10,2,3, .192 , .224 , .241 , .465 , .217 , 24.6 ,-1.58,-2.24,Batter,김헌곤,18000.0
