이름,WAR,game,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷출루,피사구,피고의사구,피삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wOBA,wRC+,WAR2,WPA,Position,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,피안타,피2타,피3타,피홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,Salary
김대한,0.5,51.0,110.0,96.0,13.0,23.0,6.0,1.0,4.0,43.0,11.0,2.0,1.0,5.0,6.0,0.0,27.0,0.0,2.0,1.0, .240 , .315 , .448 , .763 , .339 , 115.5 ,0.5,-0.09,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
권희동,0.49,82.0,280.0,238.0,30.0,53.0,5.0,1.0,5.0,75.0,22.0,2.0,1.0,31.0,8.0,1.0,44.0,3.0,2.0,1.0, .223 , .331 , .315 , .646 , .307 , 87.4 ,0.49,0.39,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000.0
지시완,0.48,75.0,199.0,174.0,16.0,37.0,7.0,0.0,3.0,53.0,17.0,0.0,0.0,20.0,2.0,1.0,55.0,7.0,2.0,1.0, .213 , .300 , .305 , .604 , .283 , 68.3 ,0.48,-0.31,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000.0
이우성,0.44,80.0,137.0,120.0,23.0,35.0,7.0,0.0,1.0,45.0,12.0,1.0,3.0,12.0,1.0,0.0,20.0,5.0,4.0,0.0, .292 , .361 , .375 , .736 , .337 , 106.9 ,0.44,-1.03,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100.0
양찬열,0.43,41.0,94.0,82.0,15.0,20.0,4.0,0.0,3.0,33.0,12.0,0.0,0.0,11.0,0.0,0.0,23.0,2.0,1.0,0.0, .244 , .333 , .402 , .736 , .337 , 113.1 ,0.43,0.38,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
고종욱,0.4,62.0,114.0,106.0,13.0,30.0,7.0,1.0,2.0,45.0,14.0,1.0,0.0,7.0,0.0,0.0,21.0,2.0,1.0,0.0, .283 , .327 , .425 , .752 , .341 , 110.4 ,0.4,0.63,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000.0
김주형,0.33,55.0,130.0,110.0,16.0,22.0,7.0,1.0,1.0,34.0,5.0,1.0,0.0,4.0,13.0,0.0,29.0,4.0,2.0,1.0, .200 , .305 , .309 , .614 , .291 , 76.0 ,0.33,-0.93,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500.0
박상언,0.32,56.0,151.0,134.0,16.0,30.0,5.0,1.0,4.0,49.0,17.0,0.0,3.0,11.0,0.0,0.0,28.0,2.0,5.0,1.0, .224 , .281 , .366 , .647 , .287 , 73.4 ,0.32,-0.83,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200.0
안승한,0.32,30.0,39.0,36.0,5.0,12.0,3.0,0.0,0.0,15.0,8.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,1.0,0.0, .333 , .368 , .417 , .785 , .356 , 122.1 ,0.32,0.21,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3700.0
손호영,0.31,36.0,82.0,74.0,13.0,19.0,0.0,2.0,3.0,32.0,14.0,0.0,3.0,6.0,0.0,0.0,14.0,2.0,1.0,1.0, .257 , .309 , .432 , .741 , .330 , 106.7 ,0.31,0.03,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500.0
신용수,0.3,49.0,73.0,68.0,8.0,16.0,4.0,2.0,2.0,30.0,7.0,3.0,1.0,4.0,1.0,0.0,15.0,0.0,0.0,0.0, .235 , .288 , .441 , .729 , .328 , 97.8 ,0.3,0.19,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4900.0
허도환,0.29,64.0,92.0,85.0,7.0,21.0,5.0,0.0,1.0,29.0,6.0,0.0,0.0,2.0,2.0,0.0,26.0,2.0,3.0,0.0, .247 , .281 , .341 , .622 , .280 , 71.2 ,0.29,-0.49,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0
이재원,0.28,105.0,279.0,234.0,27.0,47.0,6.0,0.0,4.0,65.0,28.0,1.0,0.0,25.0,8.0,1.0,44.0,13.0,9.0,3.0, .201 , .296 , .278 , .574 , .267 , 57.8 ,0.28,-1.59,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,5200.0
이재원,0.28,105.0,279.0,234.0,27.0,47.0,6.0,0.0,4.0,65.0,28.0,1.0,0.0,25.0,8.0,1.0,44.0,13.0,9.0,3.0, .201 , .296 , .278 , .574 , .267 , 57.8 ,0.28,-1.59,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0
조수행,0.28,117.0,134.0,119.0,36.0,28.0,4.0,1.0,1.0,37.0,9.0,22.0,7.0,10.0,1.0,0.0,31.0,4.0,2.0,2.0, .235 , .296 , .311 , .606 , .281 , 70.3 ,0.28,-0.74,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,8500.0
서건창,0.28,77.0,247.0,219.0,39.0,49.0,10.0,1.0,2.0,67.0,18.0,8.0,3.0,20.0,4.0,0.0,44.0,5.0,3.0,1.0, .224 , .299 , .306 , .605 , .285 , 73.4 ,0.28,-1.75,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,26000.0
김호령,0.28,54.0,88.0,77.0,21.0,21.0,1.0,1.0,1.0,27.0,8.0,2.0,1.0,7.0,0.0,0.0,22.0,4.0,4.0,0.0, .273 , .333 , .351 , .684 , .307 , 87.1 ,0.28,-0.63,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000.0
송찬의,0.25,33.0,78.0,72.0,8.0,17.0,4.0,0.0,3.0,30.0,10.0,2.0,1.0,2.0,3.0,0.0,24.0,0.0,0.0,1.0, .236 , .282 , .417 , .699 , .316 , 100.2 ,0.25,-0.65,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
임지열,0.25,40.0,148.0,131.0,16.0,36.0,6.0,0.0,1.0,45.0,15.0,1.0,0.0,10.0,2.0,0.0,43.0,2.0,3.0,2.0, .275 , .331 , .344 , .675 , .311 , 91.2 ,0.25,-0.55,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200.0
장준원,0.23,35.0,63.0,57.0,7.0,14.0,2.0,0.0,3.0,25.0,10.0,1.0,0.0,3.0,0.0,0.0,17.0,5.0,3.0,0.0, .246 , .283 , .439 , .722 , .310 , 86.8 ,0.23,0.12,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800.0
김태진,0.23,77.0,276.0,254.0,37.0,68.0,5.0,1.0,0.0,75.0,20.0,1.0,2.0,17.0,1.0,0.0,30.0,4.0,3.0,1.0, .268 , .315 , .295 , .610 , .289 , 74.5 ,0.23,-0.12,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0
이병헌,0.18,3.0,4.0,4.0,1.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0, .750 , .750 , 1.000 , 1.750 , .801 , 426.4 ,0.18,0.08,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
최승민,0.17,44.0,34.0,34.0,19.0,11.0,0.0,0.0,0.0,11.0,3.0,6.0,3.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0, .324 , .324 , .324 , .647 , .305 , 88.6 ,0.17,-0.42,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300.0
유상빈,0.16,17.0,49.0,46.0,3.0,15.0,5.0,0.0,0.0,20.0,4.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,2.0,1.0, .326 , .319 , .435 , .754 , .327 , 101.0 ,0.16,0.31,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
김성윤,0.15,48.0,49.0,42.0,14.0,8.0,3.0,0.0,1.0,14.0,2.0,10.0,2.0,5.0,1.0,0.0,10.0,0.0,1.0,0.0, .190 , .292 , .333 , .625 , .289 , 72.9 ,0.15,-0.18,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800.0
박정현,0.15,81.0,220.0,205.0,23.0,50.0,4.0,1.0,3.0,65.0,19.0,6.0,1.0,12.0,1.0,0.0,56.0,2.0,2.0,0.0, .244 , .289 , .317 , .606 , .282 , 70.2 ,0.15,-1.42,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500.0
조민성,0.15,12.0,16.0,13.0,3.0,4.0,0.0,0.0,1.0,7.0,3.0,1.0,0.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0, .308 , .438 , .538 , .976 , .443 , 175.4 ,0.15,-0.02,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
권광민,0.14,32.0,87.0,71.0,6.0,16.0,3.0,1.0,0.0,21.0,8.0,0.0,1.0,13.0,1.0,0.0,30.0,0.0,0.0,2.0, .225 , .345 , .296 , .641 , .310 , 90.1 ,0.14,-0.62,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
하재훈,0.14,60.0,114.0,107.0,18.0,23.0,6.0,1.0,6.0,49.0,13.0,1.0,0.0,4.0,1.0,0.0,40.0,0.0,0.0,2.0, .215 , .246 , .458 , .704 , .308 , 83.3 ,0.14,-0.43,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,5300.0
변우혁,0.14,21.0,61.0,61.0,5.0,16.0,3.0,0.0,3.0,28.0,8.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,0.0,0.0, .262 , .262 , .459 , .721 , .322 , 97.1 ,0.14,-0.76,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
김태근,0.12,2.0,6.0,4.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0, .500 , .667 , .750 , 1.417 , .621 , 307.7 ,0.12,0.14,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
전민재,0.12,35.0,46.0,45.0,11.0,13.0,1.0,0.0,0.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,3.0,1.0,0.0, .289 , .289 , .311 , .600 , .275 , 64.5 ,0.12,-0.11,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200.0
최경모,0.12,98.0,75.0,73.0,16.0,22.0,2.0,0.0,0.0,24.0,4.0,2.0,0.0,1.0,0.0,0.0,18.0,1.0,1.0,0.0, .301 , .311 , .329 , .640 , .296 , 79.6 ,0.12,-0.31,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
이재용,0.12,8.0,6.0,5.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0, .200 , .333 , .800 , 1.133 , .467 , 191.4 ,0.12,-0.01,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
이명기,0.11,94.0,341.0,300.0,36.0,77.0,13.0,2.0,0.0,94.0,23.0,5.0,4.0,30.0,3.0,0.0,56.0,8.0,6.0,2.0, .257 , .328 , .313 , .642 , .301 , 84.1 ,0.11,-1.84,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,17500.0
김민혁,0.1,132.0,434.0,373.0,47.0,106.0,10.0,2.0,0.0,120.0,35.0,6.0,9.0,37.0,2.0,2.0,62.0,10.0,19.0,3.0, .284 , .349 , .322 , .671 , .305 , 83.6 ,0.1,0.07,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200.0
김민혁,0.1,132.0,434.0,373.0,47.0,106.0,10.0,2.0,0.0,120.0,35.0,6.0,9.0,37.0,2.0,2.0,62.0,10.0,19.0,3.0, .284 , .349 , .322 , .671 , .305 , 83.6 ,0.1,0.07,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000.0
장운호,0.1,57.0,146.0,122.0,12.0,29.0,3.0,0.0,1.0,35.0,15.0,0.0,2.0,17.0,3.0,1.0,24.0,2.0,2.0,2.0, .238 , .340 , .287 , .627 , .299 , 81.1 ,0.1,-0.01,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,5350.0
오영수,0.09,83.0,259.0,231.0,25.0,55.0,10.0,0.0,6.0,83.0,31.0,0.0,5.0,22.0,3.0,0.0,58.0,4.0,0.0,3.0, .238 , .309 , .359 , .668 , .311 , 89.8 ,0.09,0.33,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
오태곤,0.08,130.0,295.0,263.0,48.0,61.0,15.0,1.0,4.0,90.0,23.0,11.0,4.0,15.0,9.0,1.0,68.0,3.0,5.0,3.0, .232 , .293 , .342 , .635 , .290 , 73.9 ,0.08,0.06,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,10500.0
문상철,0.07,28.0,52.0,49.0,5.0,11.0,3.0,0.0,2.0,20.0,4.0,1.0,0.0,3.0,0.0,0.0,17.0,2.0,0.0,0.0, .224 , .269 , .408 , .677 , .306 , 84.3 ,0.07,-0.27,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,6600.0
김선우,0.06,3.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, .333 , .500 , .333 , .833 , .423 , 166.1 ,0.06,0.05,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
최준우,0.05,10.0,16.0,12.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0, .250 , .375 , .250 , .625 , .311 , 89.1 ,0.05,-0.06,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900.0
송승환,0.04,11.0,28.0,28.0,3.0,7.0,1.0,0.0,1.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0, .250 , .250 , .393 , .643 , .290 , 81.2 ,0.04,0.22,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
문상준,0.04,2.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0, .333 , .333 , .667 , 1.000 , .439 , 171.0 ,0.04,0.07,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
김민수,0.04,57.0,156.0,140.0,9.0,36.0,6.0,0.0,0.0,42.0,11.0,0.0,1.0,9.0,4.0,0.0,48.0,2.0,3.0,0.0, .257 , .320 , .300 , .620 , .293 , 73.7 ,0.04,0.23,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
김민수,0.04,57.0,156.0,140.0,9.0,36.0,6.0,0.0,0.0,42.0,11.0,0.0,1.0,9.0,4.0,0.0,48.0,2.0,3.0,0.0, .257 , .320 , .300 , .620 , .293 , 73.7 ,0.04,0.23,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,6200.0
김민수,0.04,57.0,156.0,140.0,9.0,36.0,6.0,0.0,0.0,42.0,11.0,0.0,1.0,9.0,4.0,0.0,48.0,2.0,3.0,0.0, .257 , .320 , .300 , .620 , .293 , 73.7 ,0.04,0.23,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,5300.0
김민수,0.04,57.0,156.0,140.0,9.0,36.0,6.0,0.0,0.0,42.0,11.0,0.0,1.0,9.0,4.0,0.0,48.0,2.0,3.0,0.0, .257 , .320 , .300 , .620 , .293 , 73.7 ,0.04,0.23,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,11500.0
안상현,0.03,46.0,47.0,38.0,12.0,6.0,0.0,0.0,2.0,12.0,5.0,2.0,0.0,5.0,1.0,0.0,12.0,2.0,3.0,0.0, .158 , .273 , .316 , .589 , .261 , 50.6 ,0.03,-0.29,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200.0
이형종,0.03,26.0,63.0,53.0,3.0,14.0,3.0,0.0,0.0,17.0,7.0,0.0,0.0,5.0,1.0,0.0,10.0,0.0,1.0,3.0, .264 , .323 , .321 , .643 , .296 , 80.5 ,0.03,0.27,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000.0
박찬혁,0.03,52.0,175.0,161.0,13.0,34.0,5.0,0.0,6.0,57.0,17.0,0.0,1.0,9.0,5.0,0.0,67.0,1.0,0.0,0.0, .211 , .274 , .354 , .628 , .291 , 81.8 ,0.03,-0.36,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
안재석,0.02,99.0,264.0,235.0,22.0,50.0,10.0,0.0,3.0,69.0,17.0,4.0,0.0,19.0,4.0,1.0,71.0,5.0,4.0,2.0, .213 , .281 , .294 , .574 , .267 , 61.8 ,0.02,-0.88,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,5800.0
강백호,0.02,62.0,264.0,237.0,24.0,58.0,12.0,0.0,6.0,88.0,29.0,0.0,0.0,23.0,1.0,2.0,44.0,6.0,1.0,2.0, .245 , .312 , .371 , .683 , .312 , 88.8 ,0.02,0.16,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,55000.0
김동진,0.02,5.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0, .250 , .250 , .500 , .750 , .330 , 104.7 ,0.02,0.02,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
박계범,0.02,77.0,168.0,145.0,21.0,32.0,8.0,0.0,2.0,46.0,14.0,5.0,3.0,12.0,3.0,1.0,40.0,1.0,6.0,2.0, .221 , .290 , .317 , .607 , .273 , 66.4 ,0.02,-0.89,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,14500.0
박유연,0.01,13.0,19.0,17.0,0.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0, .235 , .316 , .235 , .551 , .276 , 64.6 ,0.01,0.04,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
안중열,0.01,33.0,84.0,71.0,8.0,11.0,0.0,0.0,2.0,17.0,2.0,0.0,1.0,11.0,2.0,0.0,19.0,2.0,0.0,0.0, .155 , .286 , .239 , .525 , .262 , 55.7 ,0.01,-0.51,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400.0
이정범,0.0,7.0,11.0,11.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0, .273 , .273 , .273 , .546 , .257 , 53.0 ,0.0,-0.03,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200.0
신준우,0.0,76.0,54.0,43.0,6.0,6.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,7.0,2.0,0.0,19.0,0.0,2.0,0.0, .140 , .289 , .209 , .498 , .246 , 45.5 ,0.0,-0.23,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
고명성,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100.0
김재유,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.03,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000.0
이승진,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000.0
배재준,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.0
김서준,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
박승주,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200.0
오승환,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,160000.0
채지선,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0
김범수,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,9680.0
이상민,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500.0
우규민,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000.0
홍정우,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,5300.0
배제성,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,27000.0
서동민,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0
장시환,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,8700.0
최민준,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500.0
진해수,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000.0
신정락,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400.0
김지용,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000.0
원종현,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,27000.0
윤명준,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000.0
이용준,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
홍건희,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000.0
김재윤,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,28000.0
문경찬,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000.0
박영현,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
심재민,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,8200.0
김강률,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,22500.0
박정수,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.0
이용찬,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0
