이름,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,피안타,피2타,피3타,피홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA,Position,Player,Salary
백승우,0.21,6,0,0,0,0,0,0,0,4.0,0,0,18,3,0,0,0,3,0,1,1,0,0, 0.00 , 5.94 , 1.50 ,  , 69.7 ,-0.1,Pitcher,백승우,3000.0
박준표,0.18,33,0,0,0,1,0,0,3,28.0,16,14,118,28,3,1,3,9,1,0,13,0,1, 4.50 , 4.76 , 1.32 , 91.8 , 86.0 ,-0.2,Pitcher,박준표,12500.0
이명종,0.16,45,0,0,2,5,5,0,1,57.0,34,33,260,66,13,0,5,24,0,6,26,0,0, 5.21 , 5.25 , 1.58 , 78.8 , 77.7 ,-1.16,Pitcher,이명종,3000.0
윤정현,0.16,5,0,0,0,0,0,0,0,6.0,2,1,26,5,0,0,0,6,0,0,2,0,1, 1.50 , 5.78 , 1.83 , 273.8 , 71.5 ,-0.12,Pitcher,윤정현,4100.0
이진하,0.16,9,0,0,0,0,0,0,0,8.0,3,3,31,4,3,0,0,3,0,1,2,0,1, 3.38 , 4.44 , 0.88 , 123.3 , 93.6 ,-0.04,Pitcher,이진하,3000.0
이병헌,0.16,36,0,0,0,0,0,0,5,27.0,16,14,126,25,7,0,2,22,0,1,28,0,3, 4.67 , 4.89 , 1.74 , 87.3 , 83.0 ,-0.86,Pitcher,이병헌,3000.0
이병헌,0.16,36,0,0,0,0,0,0,5,27.0,16,14,126,25,7,0,2,22,0,1,28,0,3, 4.67 , 4.89 , 1.74 , 87.3 , 83.0 ,-0.86,Pitcher,이병헌,3000.0
김승현,0.16,10,0,0,0,0,0,0,0,12.2,6,6,57,11,2,0,1,10,0,1,7,0,1, 4.26 , 5.97 , 1.66 , 96.9 , 69.2 ,-0.02,Pitcher,김승현,5500.0
전용주,0.15,15,0,0,0,0,1,0,1,10.1,5,5,43,6,4,0,0,6,0,1,9,0,4, 4.35 , 3.73 , 1.16 , 97.0 , 112.2 ,0.04,Pitcher,전용주,2800.0
백승건,0.14,25,0,0,2,2,2,0,3,38.0,24,21,170,41,5,0,7,17,0,0,29,0,0, 4.97 , 5.65 , 1.53 , 84.1 , 75.8 ,0.18,Pitcher,백승건,3000.0
이재희,0.14,2,0,0,1,0,0,0,0,8.0,3,3,33,4,1,0,1,5,0,0,5,0,1, 3.38 , 5.69 , 1.13 , 125.5 , 73.7 ,-0.06,Pitcher,이재희,4000.0
전사민,0.14,9,0,0,0,0,2,1,0,17.0,10,9,81,17,1,0,1,14,1,2,6,0,1, 4.76 , 6.15 , 1.82 , 87.4 , 68.2 ,-0.17,Pitcher,전사민,3000.0
문성현,0.14,32,0,0,0,2,2,0,2,28.1,16,13,134,25,3,0,2,20,2,2,21,0,2, 4.13 , 5.00 , 1.59 , 99.4 , 81.7 ,-0.7,Pitcher,문성현,3500.0
김태현,0.13,16,0,0,0,1,0,0,0,20.1,13,10,90,17,1,1,4,13,0,1,14,0,0, 4.43 , 6.69 , 1.48 , 94.1 , 63.2 ,-0.01,Pitcher,김태현,3000.0
이선우,0.13,22,0,0,4,0,2,0,0,37.1,20,18,169,47,6,0,5,9,0,4,24,0,0, 4.34 , 4.94 , 1.50 , 97.3 , 84.0 ,-0.66,Pitcher,이선우,3000.0
진해수,0.13,19,0,0,0,0,0,0,2,14.2,8,5,72,18,3,0,2,10,0,0,12,0,3, 3.07 , 5.62 , 1.91 , 133.0 , 72.0 ,-0.44,Pitcher,진해수,30000.0
이승현,0.13,48,0,0,0,1,5,5,7,43.1,26,24,199,41,6,0,6,29,1,2,37,0,2, 4.98 , 5.61 , 1.62 , 85.0 , 74.9 ,-1.6,Pitcher,이승현,10000.0
이승현,0.13,48,0,0,0,1,5,5,7,43.1,26,24,199,41,6,0,6,29,1,2,37,0,2, 4.98 , 5.61 , 1.62 , 85.0 , 74.9 ,-1.6,Pitcher,이승현,5500.0
김창훈,0.12,3,0,0,0,0,0,0,0,4.1,1,1,17,5,0,1,0,1,0,0,1,0,0, 2.08 , 3.67 , 1.39 , 200.3 , 113.1 ,0.1,Pitcher,김창훈,3100.0
한재승,0.11,11,0,0,0,0,1,0,0,9.2,5,4,44,9,1,0,2,5,0,0,10,0,1, 3.72 , 5.62 , 1.45 , 111.8 , 75.6 ,-0.24,Pitcher,한재승,3000.0
최지광,0.1,22,0,0,0,2,0,0,1,17.1,10,10,82,17,2,0,4,9,0,1,18,0,0, 5.19 , 6.10 , 1.50 , 81.6 , 69.5 ,-0.69,Pitcher,,12000.0
송은범,0.1,4,0,0,0,0,0,0,0,3.2,1,1,17,6,0,0,0,3,0,0,2,0,0, 2.45 , 4.81 , 2.46 , 166.3 , 86.2 ,-0.1,Pitcher,,15000.0
이상영,0.1,6,0,0,2,0,1,0,0,11.0,5,4,54,12,3,0,0,8,0,3,4,0,0, 3.27 , 5.72 , 1.82 , 124.7 , 72.3 ,-0.14,Pitcher,,3100.0
김유신,0.1,27,0,0,0,0,1,0,2,30.1,19,19,141,34,8,0,2,19,0,3,12,0,0, 5.64 , 5.68 , 1.75 , 73.3 , 72.7 ,-0.64,Pitcher,김유신,3700.0
김대유,0.1,41,0,0,0,0,2,0,4,24.2,15,14,110,26,1,1,2,8,1,6,20,0,0, 5.11 , 4.46 , 1.38 , 80.9 , 91.9 ,-0.55,Pitcher,김대유,12500.0
박승주,0.1,18,0,0,0,0,3,0,0,18.0,11,7,91,19,3,2,2,13,0,2,15,0,5, 3.50 , 5.72 , 1.78 , 117.3 , 70.9 ,-0.77,Pitcher,박승주,3200.0
이민석,0.09,1,0,0,0,0,0,0,0,1.1,0,0,5,0,0,0,0,1,0,0,1,0,0, 0.00 , 4.19 , 0.75 ,  , 99.5 ,0.1,Pitcher,이민석,3000.0
최지강,0.09,25,0,0,0,2,1,0,2,22.0,13,13,102,16,4,0,0,21,0,0,14,0,0, 5.32 , 5.03 , 1.68 , 76.6 , 82.4 ,0.41,Pitcher,최지강,3000.0
윤호솔,0.09,4,0,0,0,0,0,0,0,3.2,1,1,17,3,1,0,0,3,0,0,4,0,0, 2.45 , 3.72 , 1.64 , 166.3 , 111.7 ,0.04,Pitcher,윤호솔,6350.0
박신지,0.08,15,0,0,1,0,0,0,0,26.0,16,16,129,39,13,0,1,11,0,3,15,0,2, 5.54 , 4.40 , 1.92 , 73.5 , 92.9 ,-0.64,Pitcher,박신지,3100.0
홍원표,0.08,3,0,0,0,0,0,0,0,3.2,1,1,15,2,0,0,0,2,0,0,1,0,0, 2.45 , 4.53 , 1.09 , 172.5 , 91.2 ,0.01,Pitcher,,3000.0
임정호,0.08,65,0,0,0,4,4,0,15,50.0,30,26,216,51,9,1,3,17,0,4,49,1,4, 4.68 , 3.52 , 1.36 , 89.0 , 119.4 ,-0.29,Pitcher,임정호,10500.0
김정운,0.08,5,0,0,0,0,0,0,0,7.0,4,3,35,6,2,0,0,6,0,2,3,0,0, 3.86 , 6.01 , 1.71 , 109.5 , 69.2 ,-0.04,Pitcher,김정운,3000.0
이승호,0.08,4,0,0,1,0,0,0,1,5.0,3,3,24,5,3,0,1,4,0,0,1,0,0, 5.40 , 8.04 , 1.80 , 76.0 , 50.4 ,-0.05,Pitcher,이승호,8500.0
김강현,0.05,2,0,0,0,0,0,0,0,3.0,1,1,13,1,0,0,0,2,0,1,0,0,0, 3.00 , 6.44 , 1.00 , 138.7 , 64.6 ,-0.0,Pitcher,김강현,3000.0
서동민,0.05,2,0,0,0,0,0,0,0,1.0,0,0,6,0,0,0,0,3,0,0,1,0,0, 0.00 , 10.44 , 3.00 ,  , 39.8 ,-0.05,Pitcher,,4000.0
김시훈,0.05,61,0,0,0,4,3,3,12,52.2,32,26,245,57,10,1,3,34,0,1,49,0,3, 4.44 , 4.32 , 1.73 , 93.7 , 97.5 ,-1.51,Pitcher,김시훈,3000.0
박영완,0.05,1,0,0,0,0,0,0,0,1.0,0,0,3,0,0,0,0,1,0,0,1,0,0, 0.00 , 4.44 , 1.00 ,  , 94.0 ,0.01,Pitcher,박영완,3200.0
하준수,0.04,1,0,0,0,0,0,0,0,1.0,0,0,5,0,0,0,0,2,0,0,1,0,0, 0.00 , 7.44 , 2.00 ,  , 56.5 ,0.0,Pitcher,하준수,3000.0
하준호,0.04,12,0,0,0,0,1,0,0,13.0,9,7,65,14,1,0,0,10,2,5,6,0,4, 4.85 , 5.52 , 1.85 , 87.1 , 75.5 ,-0.15,Pitcher,하준호,5000.0
송승기,0.04,1,0,0,0,0,0,0,0,1.0,0,0,5,1,0,0,0,1,0,0,0,0,0, 0.00 , 6.44 , 2.00 ,  , 64.2 ,0.0,Pitcher,송승기,3000.0
김태욱,0.04,1,0,0,0,0,0,0,0,1.0,0,0,3,0,0,0,0,0,0,0,0,0,0, 0.00 , 3.44 , 0.00 ,  , 120.5 ,0.0,Pitcher,,3000.0
유승철,0.03,1,0,0,0,0,0,0,0,1.0,0,0,4,0,0,0,0,1,0,0,0,0,0, 0.00 , 6.44 , 1.00 ,  , 64.7 ,0.0,Pitcher,유승철,4000.0
류원석,0.03,1,0,0,0,0,0,0,0,2.0,1,1,8,1,0,0,0,0,0,1,1,0,1, 4.50 , 3.94 , 0.50 , 92.3 , 105.7 ,0.0,Pitcher,류원석,4000.0
심창민,0.02,5,0,0,0,0,1,0,0,3.1,2,1,18,2,0,0,0,5,0,1,5,0,0, 2.70 , 5.84 , 2.10 , 154.2 , 71.8 ,0.05,Pitcher,심창민,28000.0
이우석,0.02,1,0,0,0,0,0,0,0,0.2,0,0,2,0,0,0,0,1,0,0,0,0,0, 0.00 , 7.94 , 1.50 ,  , 52.7 ,0.0,Pitcher,이우석,3300.0
조현우,0.02,5,0,0,0,0,0,0,0,3.0,2,2,17,6,1,0,0,2,0,0,1,0,1, 6.00 , 4.78 , 2.67 , 70.4 , 87.2 ,0.01,Pitcher,조현우,9500.0
박세진,0.02,16,0,0,0,0,1,0,1,11.2,8,5,66,15,2,0,1,14,0,0,10,0,2, 3.86 , 6.44 , 2.49 , 109.5 , 64.7 ,-0.2,Pitcher,박세진,3200.0
오석주,0.01,9,0,0,0,0,0,0,0,10.0,7,7,44,12,2,0,2,3,0,0,11,0,2, 6.30 , 4.74 , 1.50 , 64.8 , 84.1 ,-0.08,Pitcher,오석주,3500.0
김민규,0.0,6,0,0,1,0,0,0,0,8.1,5,4,37,6,2,1,0,4,0,2,5,0,2, 4.32 , 4.40 , 1.20 , 94.3 , 94.1 ,-0.12,Pitcher,,5500.0
손주영,0.0,3,0,0,2,1,0,0,0,8.2,7,5,46,12,0,0,0,6,0,0,5,1,0, 5.19 , 4.37 , 2.08 , 78.6 , 95.0 ,-0.0,Pitcher,손주영,3800.0
김주한,0.0,1,0,0,0,0,0,0,0,0.0,3,3,3,2,0,0,1,1,0,0,0,0,0,  ,  ,  ,  ,  ,-0.01,Pitcher,,9000.0
고봉재,-0.0,10,0,0,0,0,0,0,0,11.1,8,8,53,12,2,1,0,7,0,1,7,0,0, 6.35 , 4.33 , 1.68 , 64.1 , 95.9 ,-0.21,Pitcher,고봉재,3300.0
김영현,-0.01,31,0,0,0,0,0,1,1,33.0,22,20,150,30,7,0,4,20,1,1,35,0,2, 5.45 , 4.72 , 1.52 , 77.4 , 88.6 ,-0.36,Pitcher,김영현,3000.0
홍성민,-0.01,2,0,0,0,0,0,0,0,2.0,2,2,12,5,0,1,1,1,0,0,1,0,1, 9.00 , 10.44 , 3.00 , 45.6 , 38.1 ,-0.01,Pitcher,홍성민,12500.0
한두솔,-0.01,1,0,0,0,0,0,0,0,1.0,1,1,6,1,0,1,0,1,0,1,2,0,0, 9.00 , 5.44 , 2.00 , 46.5 , 77.7 ,-0.01,Pitcher,,3000.0
박권후,-0.01,4,0,0,0,0,0,0,0,2.2,2,1,13,4,0,0,1,1,0,0,0,1,0, 3.38 , 9.44 , 1.88 , 125.5 , 45.1 ,-0.02,Pitcher,박권후,3000.0
성동현,-0.01,1,0,0,0,0,0,0,0,1.0,1,1,6,2,0,0,0,1,0,0,1,0,0, 9.00 , 4.44 , 3.00 , 45.4 , 93.3 ,-0.0,Pitcher,성동현,3000.0
오원석,-0.02,28,1,0,27,8,10,0,0,144.2,92,84,648,158,22,2,11,69,0,9,88,0,11, 5.23 , 4.83 , 1.57 , 80.1 , 87.3 ,-1.2,Pitcher,,6500.0
이기순,-0.02,2,0,0,0,0,0,0,0,3.0,3,3,16,3,0,0,1,4,0,0,3,0,0, 9.00 , 9.78 , 2.33 , 46.5 , 43.9 ,-0.01,Pitcher,,3000.0
채지선,-0.02,3,0,0,0,0,0,0,0,3.1,3,3,17,4,1,1,0,4,0,0,2,0,1, 8.10 , 5.84 , 2.40 , 51.2 , 71.6 ,-0.01,Pitcher,채지선,4000.0
이로운,-0.04,50,0,0,0,6,1,0,5,57.2,39,36,268,67,13,1,7,29,2,1,52,0,3, 5.62 , 4.67 , 1.67 , 74.5 , 91.1 ,-0.04,Pitcher,,3000.0
김준형,-0.04,8,0,0,0,0,0,0,0,7.2,6,6,36,4,3,0,0,6,0,3,5,0,0, 7.04 , 5.66 , 1.30 , 58.3 , 73.1 ,-0.03,Pitcher,김준형,4200.0
양지율,-0.04,1,0,0,0,0,0,0,0,0.2,1,1,6,1,0,0,0,3,0,0,2,0,0, 13.50 , 10.94 , 6.00 , 30.4 , 37.3 ,-0.04,Pitcher,양지율,3200.0
장재영,-0.04,23,0,0,17,1,5,0,0,71.2,46,44,339,63,15,0,4,66,0,8,67,2,8, 5.53 , 5.40 , 1.80 , 74.3 , 75.6 ,-0.78,Pitcher,장재영,3100.0
김영준,-0.05,1,0,0,0,1,0,0,0,0.1,1,1,3,1,0,0,0,1,0,0,0,0,0, 27.00 , 12.44 , 6.00 , 15.1 , 33.2 ,-0.03,Pitcher,김영준,3500.0
임지민,-0.05,2,0,0,0,0,0,0,0,1.1,2,2,10,2,0,0,0,4,0,0,3,0,2, 13.50 , 7.94 , 4.50 , 30.8 , 53.3 ,0.0,Pitcher,임지민,3000.0
정성종,-0.05,12,0,0,3,0,1,0,1,22.0,14,13,98,21,5,0,1,15,1,1,10,0,1, 5.32 , 5.17 , 1.64 , 78.2 , 79.7 ,-0.17,Pitcher,정성종,4100.0
송윤준,-0.05,4,0,0,0,0,0,0,0,4.1,4,4,19,4,2,0,0,2,0,0,3,1,0, 8.31 , 3.44 , 1.39 , 50.0 , 120.3 ,-0.04,Pitcher,송윤준,4100.0
스미스,-0.05,1,0,0,1,0,0,0,0,2.2,2,2,12,3,0,0,0,0,0,1,2,0,0, 6.75 , 3.07 , 1.13 , 61.5 , 135.6 ,0.11,Pitcher,스미스,3000.0
배재준,-0.06,1,0,0,0,0,0,0,0,1.0,2,2,6,2,0,1,0,1,0,0,0,0,1, 18.00 , 6.44 , 3.00 , 22.7 , 64.2 ,-0.0,Pitcher,배재준,5000.0
서상준,-0.06,2,0,0,0,0,0,0,0,2.0,3,0,13,1,0,0,0,5,0,0,3,0,1, 0.00 , 7.94 , 3.00 ,  , 52.3 ,-0.01,Pitcher,,3000.0
윤석원,-0.06,21,0,0,0,2,0,0,2,24.0,17,12,110,29,5,0,2,8,1,0,8,0,1, 4.50 , 4.73 , 1.54 , 91.3 , 86.2 ,-0.03,Pitcher,윤석원,3000.0
우강훈,-0.07,3,0,0,1,0,0,0,0,6.0,5,4,29,6,1,0,0,4,0,1,5,0,0, 6.00 , 4.28 , 1.67 , 69.3 , 97.6 ,-0.26,Pitcher,,3000.0
신헌민,-0.07,11,0,0,0,0,0,0,0,12.0,10,8,62,19,6,0,1,6,1,0,8,0,0, 6.00 , 4.44 , 2.08 , 69.8 , 95.2 ,0.09,Pitcher,,3000.0
김건국,-0.07,6,0,0,5,0,1,0,0,16.0,12,12,70,18,6,1,0,4,0,1,9,0,0, 6.75 , 3.26 , 1.38 , 61.2 , 127.4 ,-0.24,Pitcher,김건국,6000.0
김민수,-0.07,14,0,0,0,0,1,0,3,13.0,10,10,58,17,5,2,1,5,0,0,4,0,0, 6.92 , 4.98 , 1.69 , 61.0 , 83.3 ,-0.23,Pitcher,김민수,3000.0
김민수,-0.07,14,0,0,0,0,1,0,3,13.0,10,10,58,17,5,2,1,5,0,0,4,0,0, 6.92 , 4.98 , 1.69 , 61.0 , 83.3 ,-0.23,Pitcher,김민수,6200.0
김민수,-0.07,14,0,0,0,0,1,0,3,13.0,10,10,58,17,5,2,1,5,0,0,4,0,0, 6.92 , 4.98 , 1.69 , 61.0 , 83.3 ,-0.23,Pitcher,김민수,5300.0
김민수,-0.07,14,0,0,0,0,1,0,3,13.0,10,10,58,17,5,2,1,5,0,0,4,0,0, 6.92 , 4.98 , 1.69 , 61.0 , 83.3 ,-0.23,Pitcher,김민수,11500.0
슐서,-0.08,9,0,0,9,1,7,0,0,49.2,32,31,221,66,9,1,6,14,1,0,35,0,2, 5.62 , 4.39 , 1.61 , 75.2 , 94.8 ,-0.89,Pitcher,슐서,3000.0
장세진,-0.08,2,0,0,0,0,0,0,0,1.1,2,2,8,2,0,0,1,2,0,0,1,0,0, 13.50 , 16.19 , 3.00 , 30.8 , 24.6 ,-0.02,Pitcher,장세진,3000.0
최충연,-0.08,7,0,0,0,0,0,0,0,9.1,8,5,47,10,1,0,3,7,0,3,8,1,0, 4.82 , 9.12 , 1.82 , 87.8 , 46.4 ,-0.03,Pitcher,최충연,4500.0
박진,-0.08,4,0,0,0,0,0,0,0,5.0,5,5,29,7,2,0,1,7,0,0,2,1,1, 9.00 , 9.44 , 2.80 , 46.2 , 43.2 ,-0.07,Pitcher,박진,3100.0
조성훈,-0.09,2,0,0,2,0,1,0,0,7.0,5,5,34,10,1,0,0,4,0,2,4,0,0, 6.43 , 4.87 , 2.00 , 65.1 , 85.7 ,-0.1,Pitcher,,3000.0
김태오,-0.09,5,0,0,0,0,0,0,0,7.1,6,6,35,10,3,0,0,4,1,0,3,0,0, 7.36 , 3.85 , 1.91 , 57.3 , 108.5 ,0.11,Pitcher,김태오,3400.0
박명근,-0.09,57,0,0,1,4,3,5,9,51.1,31,29,236,49,9,1,4,28,2,6,40,0,1, 5.08 , 4.77 , 1.50 , 80.3 , 85.6 ,-0.58,Pitcher,박명근,3000.0
김정우,-0.09,7,0,0,0,0,0,0,0,6.2,7,7,38,11,2,0,1,7,0,0,6,0,0, 9.45 , 6.74 , 2.70 , 43.1 , 59.5 ,-0.06,Pitcher,,3000.0
김호준,-0.09,3,0,0,0,0,0,0,0,3.0,4,4,16,3,0,0,1,4,0,0,2,0,1, 12.00 , 10.44 , 2.33 , 33.9 , 37.8 ,0.0,Pitcher,김호준,3000.0
김서준,-0.09,8,0,0,1,0,1,0,1,7.2,6,6,39,9,2,0,0,6,0,2,2,0,3, 7.04 , 6.05 , 1.96 , 60.1 , 68.2 ,-0.41,Pitcher,김서준,3000.0
진승현,-0.09,24,0,0,0,2,2,0,1,27.2,20,18,129,34,3,0,2,16,3,0,25,0,1, 5.86 , 3.98 , 1.81 , 71.1 , 102.4 ,-0.14,Pitcher,진승현,3000.0
오상원,-0.1,11,0,0,1,0,0,0,0,15.0,11,11,74,18,5,1,0,9,0,3,7,0,0, 6.60 , 4.91 , 1.80 , 62.2 , 84.2 ,-0.32,Pitcher,오상원,3000.0
윤산흠,-0.1,5,0,0,0,0,0,0,0,3.0,2,2,18,3,1,0,0,6,0,0,3,0,0, 6.00 , 7.44 , 3.00 , 69.2 , 55.8 ,-0.46,Pitcher,윤산흠,3100.0
류희운,-0.1,3,0,0,0,0,0,0,0,4.0,5,5,20,6,1,0,1,2,0,0,4,0,0, 11.25 , 6.19 , 2.00 , 36.9 , 67.1 ,-0.01,Pitcher,류희운,3300.0
제환유,-0.11,1,0,0,0,0,0,0,0,2.0,4,3,14,3,0,0,0,4,0,0,2,0,1, 13.50 , 7.44 , 3.50 , 30.2 , 55.7 ,-0.01,Pitcher,제환유,3000.0
와이드너,-0.11,21,0,0,20,7,5,0,0,115.0,65,58,495,112,22,0,7,40,1,6,99,0,3, 4.54 , 3.69 , 1.32 ,  ,  ,-0.19,Pitcher,와이드너,3000.0
이채호,-0.11,25,0,0,0,0,1,0,1,24.2,19,19,110,26,6,0,6,9,0,3,8,0,1, 6.93 , 7.42 , 1.42 , 60.9 , 55.8 ,-0.57,Pitcher,이채호,3000.0
장민재,-0.11,25,0,0,13,3,8,0,1,69.0,46,37,308,79,13,2,12,22,2,5,61,0,5, 4.83 , 5.02 , 1.46 , 86.0 , 82.7 ,-0.54,Pitcher,장민재,7600.0
나원탁,-0.11,1,0,0,0,0,0,0,0,0.2,3,3,6,3,0,0,1,1,0,0,1,0,0, 40.50 , 24.44 , 6.00 , 10.3 , 16.1 ,-0.0,Pitcher,나원탁,3100.0
박세웅,-0.12,2,0,0,0,0,0,0,0,0.2,2,2,6,1,0,0,1,3,0,0,1,0,0, 27.00 , 33.44 , 6.00 , 15.7 , 12.8 ,-0.3,Pitcher,박세웅,3300.0
박세웅,-0.12,2,0,0,0,0,0,0,0,0.2,2,2,6,1,0,0,1,3,0,0,1,0,0, 27.00 , 33.44 , 6.00 , 15.7 , 12.8 ,-0.3,Pitcher,박세웅,26000.0
김주온,-0.12,1,0,0,0,0,0,0,0,0.1,3,3,5,2,0,0,0,1,0,1,1,0,1, 81.00 , 15.44 , 9.00 , 5.2 , 27.4 ,-0.0,Pitcher,,3000.0
김시현,-0.12,2,0,0,0,0,0,0,0,3.0,5,4,17,6,1,0,2,2,0,0,2,0,0, 12.00 , 12.78 , 2.67 , 35.3 , 33.6 ,-0.01,Pitcher,,3300.0
이준호,-0.13,17,0,0,2,3,2,0,0,31.2,22,17,144,32,4,1,3,15,0,4,19,0,2, 4.83 , 5.27 , 1.48 , 86.2 , 79.7 ,0.03,Pitcher,이준호,3000.0
장지수,-0.14,1,0,0,0,0,0,0,0,2.0,5,4,11,4,0,0,0,2,0,0,0,0,1, 18.00 , 6.44 , 3.00 , 23.1 , 64.5 ,-0.01,Pitcher,장지수,3200.0
이승진,-0.15,1,0,0,0,0,0,0,0,0.2,4,0,6,1,0,0,0,1,0,1,1,0,0, 0.00 , 9.44 , 3.00 ,  , 43.8 ,-0.0,Pitcher,이승진,11000.0
김유성,-0.15,7,0,0,0,0,0,0,0,6.1,7,7,38,6,0,0,2,12,0,0,6,0,3, 9.95 , 11.34 , 2.84 , 40.9 , 35.1 ,-0.24,Pitcher,김유성,3000.0
최이준,-0.15,28,0,0,0,1,0,0,1,29.0,22,22,143,37,11,3,1,21,1,0,20,0,4, 6.83 , 4.58 , 2.00 , 60.9 , 90.2 ,0.23,Pitcher,최이준,3000.0
장원준,-0.16,11,0,0,10,3,5,0,0,41.0,27,24,183,53,8,2,4,11,0,2,24,0,2, 5.27 , 4.49 , 1.56 , 77.3 , 89.4 ,-0.64,Pitcher,장원준,5000.0
조이현,-0.17,18,0,0,4,2,1,0,1,35.0,27,26,170,61,14,1,3,6,0,2,17,1,1, 6.69 , 4.27 , 1.91 , 63.2 , 97.3 ,-0.38,Pitcher,조이현,6500.0
윤명준,-0.17,21,0,0,0,0,1,0,5,19.1,14,14,98,31,3,1,4,10,2,4,11,0,5, 6.52 , 6.86 , 2.12 , 63.8 , 58.9 ,-1.07,Pitcher,윤명준,14000.0
김기훈,-0.18,29,0,0,0,2,0,0,0,31.1,22,16,156,28,6,1,0,37,1,2,26,1,5, 4.60 , 5.42 , 2.07 , 89.9 , 76.7 ,-0.99,Pitcher,김기훈,4000.0
배민서,-0.18,6,0,0,0,0,0,0,0,6.2,8,5,34,10,5,2,0,2,0,1,4,0,1, 6.75 , 3.59 , 1.80 , 61.7 , 115.9 ,-0.13,Pitcher,,3100.0
김건희,-0.18,3,0,0,0,0,0,0,0,2.0,5,5,14,6,0,0,2,2,0,0,0,0,0, 22.50 , 19.44 , 4.00 , 18.3 , 20.4 ,0.0,Pitcher,김건희,3000.0
이충호,-0.18,11,0,0,0,0,0,0,0,8.2,9,9,41,12,0,0,2,5,0,1,7,0,0, 9.35 , 6.90 , 1.96 , 44.4 , 60.2 ,-0.24,Pitcher,이충호,3200.0
곽도규,-0.19,14,0,0,0,0,0,0,0,11.2,11,11,61,14,2,0,0,10,0,2,14,0,1, 8.49 , 4.13 , 2.06 , 48.7 , 100.7 ,-0.07,Pitcher,곽도규,3000.0
김대현,-0.19,5,0,0,0,0,0,0,0,3.1,5,4,22,8,2,0,1,2,0,1,3,0,1, 10.80 , 8.24 , 3.00 , 37.8 , 48.5 ,-0.4,Pitcher,,3000.0
이영하,-0.2,36,0,0,0,5,3,0,4,39.1,27,24,184,40,9,1,2,21,1,4,28,0,2, 5.49 , 4.51 , 1.55 , 74.2 , 90.5 ,-1.15,Pitcher,,16000.0
노건우,-0.2,16,0,0,0,0,1,0,1,12.1,11,10,65,22,3,0,3,5,0,1,12,0,1, 7.30 , 6.12 , 2.19 , 58.0 , 69.4 ,-0.53,Pitcher,노건우,5800.0
이민호,-0.2,5,0,0,5,0,2,0,0,19.2,13,11,91,22,4,0,1,10,0,0,7,0,0, 5.03 , 4.92 , 1.63 , 81.1 , 83.4 ,-0.43,Pitcher,이민호,9800.0
이민호,-0.2,5,0,0,5,0,2,0,0,19.2,13,11,91,22,4,0,1,10,0,0,7,0,0, 5.03 , 4.92 , 1.63 , 81.1 , 83.4 ,-0.43,Pitcher,이민호,10000.0
한현희,-0.21,38,0,0,18,6,12,0,3,104.0,69,63,476,123,20,4,11,44,1,11,74,0,6, 5.45 , 4.95 , 1.61 , 76.3 , 82.5 ,-1.78,Pitcher,한현희,25000.0
이원재,-0.21,1,0,0,1,0,0,0,0,1.0,3,3,9,3,1,0,0,3,0,0,0,0,0, 27.00 , 12.44 , 6.00 , 15.1 , 33.3 ,-0.31,Pitcher,이원재,3000.0
최성훈,-0.22,5,0,0,0,0,0,1,0,3.0,5,5,17,7,2,0,0,1,0,0,2,0,0, 15.00 , 3.11 , 2.67 , 27.2 , 133.6 ,0.05,Pitcher,최성훈,10500.0
양현,-0.22,54,0,0,0,0,4,0,8,57.0,38,32,262,83,9,2,5,21,1,0,16,1,0, 5.05 , 5.07 , 1.83 , 81.3 , 80.4 ,-1.25,Pitcher,양현,10000.0
정구범,-0.23,4,0,0,2,0,1,0,0,12.2,11,11,64,16,3,0,3,12,0,0,6,0,0, 7.82 , 8.42 , 2.21 , 53.3 , 50.2 ,-0.26,Pitcher,정구범,3000.0
임준섭,-0.24,41,0,0,0,0,2,0,3,32.2,25,21,155,44,6,0,1,19,1,1,26,0,2, 5.79 , 3.99 , 1.93 , 72.3 , 104.9 ,-0.04,Pitcher,임준섭,4000.0
박윤철,-0.25,3,0,0,0,0,0,0,0,3.1,8,8,20,5,2,0,2,5,0,0,1,0,1, 21.60 , 15.14 , 3.00 , 19.2 , 27.5 ,-0.0,Pitcher,,3200.0
이형범,-0.25,23,0,0,0,1,0,0,1,27.2,23,20,134,40,10,0,2,12,0,3,13,0,2, 6.51 , 5.07 , 1.88 , 62.6 , 80.0 ,-0.32,Pitcher,이형범,8100.0
허윤동,-0.25,7,0,0,1,0,1,0,0,10.2,12,12,60,16,7,0,0,12,0,0,8,0,0, 10.13 , 5.32 , 2.63 , 41.8 , 77.5 ,-0.44,Pitcher,허윤동,4700.0
김재영,-0.26,6,0,0,0,0,0,0,0,8.0,9,9,40,13,2,1,2,2,0,2,5,0,0, 10.13 , 6.94 , 1.88 , 41.0 , 60.0 ,-0.31,Pitcher,김재영,5500.0
송영진,-0.26,17,0,0,9,3,3,0,0,47.1,35,30,220,46,9,1,3,31,0,2,38,2,8, 5.70 , 4.75 , 1.63 , 73.4 , 88.6 ,-1.06,Pitcher,,3000.0
