이름,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,피안타,피2타,피3타,피홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA,Position,Player,Salary
맥카티,2.32,24,0,0,24,9,5,0,0,130.0,58,49,543,124,19,2,10,45,0,1,116,1,4, 3.39 , 3.72 , 1.30 , 123.4 , 114.0 ,0.59,Pitcher,,3000.0
백정현,2.23,18,0,0,18,7,5,0,0,100.2,44,41,419,100,19,2,6,30,2,0,61,1,5, 3.67 , 3.84 , 1.29 , 115.5 , 108.9 ,0.6,Pitcher,백정현,80000.0
임기영,2.2,64,0,0,0,4,4,3,16,82.0,29,27,324,56,8,3,6,19,1,6,57,0,1, 2.96 , 3.88 , 0.92 , 139.4 , 105.7 ,0.38,Pitcher,임기영,14000.0
최지민,2.18,58,0,0,0,6,3,3,12,59.1,17,14,244,45,4,2,4,26,1,4,44,0,5, 2.12 , 4.30 , 1.20 , 194.5 , 95.6 ,0.25,Pitcher,최지민,3000.0
윌커슨,2.17,13,0,0,13,7,2,0,0,79.2,28,20,327,67,15,2,3,20,0,2,81,1,3, 2.26 , 2.73 , 1.09 , 184.1 , 151.4 ,1.51,Pitcher,,86451.0
백승현,2.07,42,0,0,0,2,0,3,11,40.0,7,7,162,28,4,0,2,18,1,0,30,0,1, 1.58 , 3.87 , 1.15 , 259.1 , 106.0 ,1.9,Pitcher,백승현,5000.0
최원태,2.04,26,0,0,26,9,7,0,0,146.2,73,70,632,149,17,1,12,46,2,7,118,0,6, 4.30 , 3.94 , 1.33 , 95.3 , 103.0 ,0.84,Pitcher,최원태,31000.0
이태양,2.01,50,0,0,12,3,3,0,2,100.1,44,36,422,100,25,6,7,20,2,4,72,0,1, 3.23 , 3.57 , 1.20 , 128.6 , 116.1 ,0.65,Pitcher,이태양,12000.0
전상현,1.98,64,0,0,0,8,3,1,13,58.2,20,14,250,50,8,0,1,26,4,1,50,0,3, 2.15 , 3.14 , 1.30 , 192.4 , 131.3 ,1.8,Pitcher,전상현,11000.0
켈리,1.97,30,0,0,30,10,7,0,0,178.2,87,76,746,183,31,3,10,39,1,6,129,0,6, 3.83 , 3.47 , 1.24 , 106.6 , 118.0 ,0.35,Pitcher,켈리,90000.0
김원중,1.96,63,0,0,0,5,6,30,0,63.2,24,21,265,51,5,3,2,25,3,5,82,0,3, 2.97 , 2.55 , 1.19 , 140.1 , 162.2 ,-0.21,Pitcher,김원중,28000.0
임창민,1.9,51,0,0,0,2,2,26,1,46.2,16,13,209,51,6,0,3,17,3,2,40,0,0, 2.51 , 3.59 , 1.46 , 163.8 , 113.1 ,0.55,Pitcher,임창민,12000.0
손동현,1.84,64,0,0,0,8,5,1,15,73.2,31,28,301,68,11,0,5,20,1,2,40,0,2, 3.42 , 4.09 , 1.20 , 123.4 , 101.6 ,1.11,Pitcher,손동현,3000.0
김영규,1.83,63,0,0,0,2,4,0,24,61.2,22,21,247,45,6,5,2,23,1,1,48,2,5, 3.06 , 3.43 , 1.10 , 135.9 , 122.4 ,1.08,Pitcher,김영규,9500.0
오승환,1.82,58,0,0,1,4,5,30,2,62.2,26,24,264,57,11,1,9,15,1,2,44,0,0, 3.45 , 4.67 , 1.15 , 122.9 , 90.5 ,0.63,Pitcher,오승환,160000.0
나균안,1.76,23,0,0,23,6,8,0,0,130.1,61,55,569,140,27,3,8,42,1,5,114,0,6, 3.80 , 3.55 , 1.40 , 109.5 , 115.7 ,0.46,Pitcher,나균안,5800.0
정해영,1.76,52,0,0,0,3,4,23,1,49.1,18,16,218,53,9,1,3,20,3,1,30,0,0, 2.92 , 4.11 , 1.48 , 141.5 , 99.9 ,0.7,Pitcher,정해영,17000.0
이의리,1.75,28,0,0,28,11,7,0,0,131.2,64,58,598,103,18,0,4,93,1,8,156,0,10, 3.96 , 3.75 , 1.49 , 104.2 , 110.4 ,0.05,Pitcher,이의리,9000.0
김명신,1.59,70,0,0,0,3,3,1,24,79.0,34,32,334,72,18,0,3,27,3,6,65,0,3, 3.65 , 3.43 , 1.25 , 111.7 , 119.3 ,1.62,Pitcher,김명신,10000.0
최승용,1.57,34,0,0,20,3,6,1,0,111.0,54,49,479,116,11,1,9,34,0,4,82,0,3, 3.97 , 4.05 , 1.35 , 102.5 , 99.5 ,0.44,Pitcher,최승용,3500.0
최준용,1.56,47,0,0,0,2,3,0,14,47.2,15,13,210,50,6,0,2,18,1,1,40,0,1, 2.45 , 3.44 , 1.43 , 169.5 , 119.7 ,-0.22,Pitcher,최준용,10700.0
구창모,1.56,11,0,0,9,1,3,0,0,51.2,19,17,205,38,3,0,4,16,0,0,56,0,0, 2.96 , 3.21 , 1.05 , 140.6 , 131.7 ,1.05,Pitcher,구창모,19000.0
유영찬,1.55,67,0,0,0,6,3,1,12,68.0,27,26,305,55,14,1,4,40,2,7,55,0,8, 3.44 , 4.58 , 1.40 , 118.6 , 89.5 ,-0.12,Pitcher,유영찬,3000.0
윤영철,1.49,25,0,0,24,8,7,0,0,122.2,59,55,528,124,27,3,10,48,1,1,74,1,4, 4.04 , 4.47 , 1.40 , 102.4 , 92.0 ,0.63,Pitcher,윤영철,3000.0
태너,1.48,11,0,0,11,5,2,0,0,64.2,26,21,265,58,8,0,6,13,0,1,47,0,0, 2.92 , 3.84 , 1.10 , 142.5 , 109.6 ,0.55,Pitcher,,30000.0
수아레즈,1.47,19,0,0,19,4,7,0,0,108.0,54,47,479,129,19,1,3,32,0,2,88,0,6, 3.92 , 3.12 , 1.49 , 108.1 , 133.1 ,0.51,Pitcher,수아레즈,70000.0
김동주,1.29,18,0,0,17,3,6,0,0,78.1,37,36,334,73,14,4,5,35,0,4,59,1,4, 4.14 , 4.26 , 1.38 , 98.5 , 95.2 ,0.25,Pitcher,김동주,3000.0
신민혁,1.22,29,0,0,24,5,5,0,0,122.0,63,54,518,122,27,2,14,25,0,6,97,0,3, 3.98 , 4.11 , 1.21 , 104.5 , 102.8 ,-0.36,Pitcher,신민혁,12000.0
